Order Number,Item,Frequency
114,我 是,195
115,一 张,195
116,的 大,193
117,一 个 人,192
118,另 一,190
119,这 种,189
120,不 可能,189
121,的 小,188
122,一 阵,187
123,它 的,187
124,是 吗,186
125,有 一 个,186
126,在 那里,186
127,件 事,185
128,你 是,184
129,了 出来,184
130,三 个,182
131,看 了,180
132,一 片,180
133,佩妮 姨妈,179
134,一 家,179
135,他 那,178
136,他 就,178
137,弗雷德 和,178
138,一 件,177
139,好 吧,173
140,你 知道,173
141,你 在,173
142,我 要,172
143,了 哈利,172
144,是 这样,171
145,这 一,170
146,了 他 的,169
147,了 吗,169
148,都 在,169
149,人 的,168
150,说 的,168
151,克劳奇 先生,168
152,都 不,166
153,我 知道,166
154,飞天 扫帚,165
155,一 眼,165
156,不 见,164
157,好 的,164
158,不 敢,164
159,在 哈利,163
160,的 名字,163
161,他 一,162
162,不 想,162
163,我 就,160
164,罗恩 的,160
165,有 什么,160
166,是 怎么,160
167,的 巫师,160
168,一 句,159
169,带 着,159
170,只 有,157
171,站 在,157
172,对 他,156
173,的 目光,156
174,你 说,155
175,是 谁,155
176,了 下来,155
177,她 说,154
178,了 个,154
179,一 道,153
180,去 了,151
181,虫 尾巴,151
182,我 说,151
183,很 快,151
184,了 什么,150
185,过 的,150
186,邓布利多 说,150
187,来 了,149
188,他 和,149
189,的 样子,148
190,小 精灵,147
191,和 乔治,147
192,看 不,146
193,他 又,146
194,做 什么,146
195,令 人,146
196,给 你,145
197,的 一 个,144
198,多 的,144
199,见 过,144
200,这 件,144
201,给 他,143
202,可 是,142
203,地 看,142
204,一 根,142
205,看见 了,141
206,还 在,141
207,魔法 部,140
208,亲爱 的,139
209,如果 你,139
210,是 的,137
211,说 了,137
212,的 话,137
213,公共 休息室,137
214,是 你,136
215,声音 说,136
216,海格 的,136
217,大 的,136
218,在 他们,136
219,这样 的,136
220,我 在,135
221,就 像,135
222,我们 的,134
223,着 他们,134
224,弗雷德 和 乔治,134
225,一 口,134
226,哈利 在,134
227,每 个,134
228,了 几,132
229,这 件 事,132
230,穿 着,131
231,也 是,131
232,的 脑袋,131
233,一 块,130
234,口 气,130
235,长长 的,129
236,地 望,128
237,脸 上,128
238,所有 的,128
239,就 不,128
240,的 表情,128
241,了 我,128
242,卢平 教授,128
243,把 我,127
244,就 好像,126
245,大家 都,125
246,那 一,125
247,还 没有,125
248,他 还,125
249,对 哈利,125
250,的 学生,124
251,给 我,123
252,地 望 着,123
253,的 头发,123
254,没有 人,123
255,指 着,123
256,把 你,122
257,先生 说,122
258,还 要,121
259,知道 他,121
260,我 认为,121
261,两 只,121
262,哈利 觉得,120
263,得 很,119
264,哈利 把,119
265,他们 在,118
266,一 头,118
267,他们 都,118
268,像 一,118
269,笑 了,117
270,在 霍格沃茨,117
271,什么 东西,117
272,他们 俩,116
273,瞪 着,116
274,回 事,115
275,注视 着,115
276,消失 了,115
277,什么 也,115
278,的 手,115
279,就 要,114
280,是 因为,114
281,一 位,114
282,是 哈利,114
283,最后 一,114
284,他 没有,113
285,不 到,113
286,特里劳尼 教授,113
287,说 他,113
288,变成 了,113
289,并 不,112
290,着 他 的,112
291,一 天,112
292,海格 说,111
293,笑 着,111
294,不 住,111
295,做 了,111
296,让 他,110
297,只 是,110
298,真 是,110
299,着 她,110
300,待 在,110
301,着 那,109
302,两 人,109
303,一 副,109
304,着 说,109
305,哈利 不,109
306,会 有,109
307,那 天,108
308,他 对,108
309,过 了,108
310,做 的,107
311,庞弗雷 女士,106
312,怎么 回,106
313,可 不,106
314,那 条,106
315,家养 小,105
316,让 我,105
317,地 看 着,105
318,斯 内,105
319,死 了,104
320,怎么 回 事,104
321,从 他,104
322,小 矮星,104
323,才 能,104
324,说 什么,104
325,告诉 我,104
326,很 好,103
327,注意 到,103
328,巨大 的,103
329,家养 小 精灵,102
330,了 一 声,102
331,使 他,102
332,因为 他,102
333,拿 着,102
334,又 是,101
335,回来 了,101
336,等 着,101
337,赫敏 的,101
338,朝 他,101
339,霍格沃茨 的,101
340,一直 在,101
341,那 张,100
342,小声 说,100
343,了 一些,100
344,着 一 个,100
345,我 还,99
346,那 种,99
347,这么 说,99
348,马克西姆 女士,99
349,嘴 里,99
350,不 让,99
351,出来 的,99
352,多 了,99
353,双 手,98
354,他 想,98
355,站 了,98
356,黑 魔法,98
357,这 次,97
358,出 了,97
359,床 上,96
360,走 吧,96
361,的 朋友,95
362,打 了,95
363,一 点,95
364,站 了 起来,95
365,离开 了,95
366,慢慢 地,95
367,最 好,94
368,能 不,94
369,从来 没有,94
370,的 门,94
371,就 把,94
372,哈利 一,93
373,很 不,93
374,个 星期,93
375,克拉布 和,93
376,墙 上,93
377,只 手,93
378,可怕 的,93
379,教授 说,93
380,和 他,93
381,了 他们,92
382,很 大,92
383,着 的,92
384,和 哈利,92
385,地板 上,92
386,的 情况,91
387,是 说,91
388,教授 的,91
389,放 在,91
390,房间 里,91
391,谁 也,91
392,般 的,90
393,每 一,90
394,只 见,90
395,了 一 口,90
396,的 办公室,90
397,我 没有,90
398,在 这时,90
399,把 一,89
400,跟 他,89
401,你 会,89
402,我 也,89
403,又 一,89
404,封 信,89
405,你 怎么,88
406,你 能,88
407,火 弩箭,88
408,看 不 见,88
409,我 不 知道,88
410,这 就,87
411,不 用,87
412,学校 的,87
413,知道 你,87
414,没 事,87
415,站 起来,87
416,其他 人,87
417,在 一起,87
418,会 把,86
419,你 好,86
420,把 哈利,86
421,要 把,86
422,还 不,86
423,从 没,86
424,和 一,85
425,了 那,85
426,哈利 从,85
427,了 口,85
428,一 股,85
429,他 从,85
430,口袋 里,85
431,如果 他,85
432,还 有 一,85
433,第一 次,85
434,就 在 这时,85
435,但 我,85
436,地 笑,84
437,出现 了,84
438,了 这,84
439,人 在,84
440,这么 做,84
441,能 不 能,84
442,我 真,84
443,的 那个,84
444,在 我,84
445,弗雷德 说,84
446,他 觉得,84
447,地 对,84
448,想 把,84
449,的 每,84
450,的 胳膊,83
451,椅子 上,83
452,不 出,83
453,一 遍,83
454,而 是,82
455,根本 不,82
456,得 多,82
457,把 他们,82
458,得 更,82
459,的 意思,82
460,的 声音 说,82
461,在 这,82
462,那 就,82
463,句 话,82
464,只 能,82
465,伏地魔 的,82
466,还 是,82
467,不见 了,82
468,快 就,82
469,他 会,81
470,哈利 看见,81
471,地 朝,81
472,他 自己,81
473,去 找,81
474,正 是,81
475,躺 在,81
476,和 高尔,81
477,每 个 人,81
478,不 了,81
479,哈利 和 赫敏,81
480,告诉 你,81
481,地 盯,80
482,出来 了,80
483,礼堂 里,80
484,说 过,80
485,在 这儿,80
486,干 什么,79
487,他 也,79
488,告诉 他,79
489,知道 的,79
490,说 得,79
491,一切 都,79
492,你 就,79
493,听见 了,79
494,第一 个,79
495,大 堆,79
496,预言家 日报,78
497,个 项目,78
498,地 盯 着,78
499,发出 一,78
500,他 用,78
501,不 明白,78
502,一 大 堆,78
503,跟 我,78
504,他 知道,78
505,的 神情,78
506,对 我,78
507,斯内普 的,78
508,当 他,78
509,韦斯莱 先生 说,78
510,克拉布 和 高尔,77
511,对 了,77
512,的 感觉,77
513,你 这,77
514,不 行,77
515,很 快 就,76
516,再 也,76
517,地 从,76
518,好 吗,76
519,他 要,76
520,赫奇 帕奇,76
521,我 会,76
522,什么 地方,76
523,斯莱特林 的,76
524,什么 呢,76
525,不 太,75
526,不 愿意,75
527,用 魔杖,75
528,在 那儿,75
529,你们 的,75
530,魔法 学校,75
531,戴 着,75
532,坐 了,75
533,着 它,75
534,的 两,75
535,不 停,75
536,要 去,75
537,他 看见,75
538,是 一 种,74
539,乔治 说,74
540,神秘 人,74
541,来 的,74
542,格兰芬 多 的,74
543,他 已经,73
544,哈利 看,73
545,卢 平,73
546,觉得 自己,73
547,隐形 衣,73
548,想 让,73
549,发生 了,73
550,飞快 地,73
551,个 月,73
552,过 一,73
553,当然 啦,72
554,个 人 都,72
555,什么 事,72
556,敢 相信,72
557,拉文 克劳,72
558,了 过去,72
559,不 敢 相信,72
560,听 着,72
561,在 他 的,72
562,这 是 一,72
563,看见 他,72
564,我 来,72
565,一 本,71
566,也 不 会,71
567,我 把,71
568,不 知,71
569,喘 着,71
570,是 很,71
571,对 你,71
572,顺 着,71
573,周围 的,71
574,望 着 他,71
575,利多 的,70
576,的 伤疤,70
577,个 大,70
578,不 再,70
579,压低 声音,70
580,第二 天,70
581,跟 你,70
582,他们 就,70
583,地 把,70
584,不 耐烦,70
585,的 一 声,70
586,他们 不,70
587,也 没,70
588,的 笑容,69
589,极 了,69
590,了 她,69
591,被 人,69
592,都 会,69
593,是 从,69
594,打量 着,69
595,把 那,69
596,明白 了,69
597,个 小时,69
598,不 在,69
599,不 着,68
600,了 一 眼,68
601,了 吧,68
602,了 口 气,68
603,一 边,68
604,地 瞪,68
605,让 你,68
606,意识 到,68
607,说话 了,68
608,我们 不,68
609,都 没有,68
610,的 黑,68
611,能 把,68
612,长 时间,68
613,游走 球,68
614,邓布 利多 的,68
615,不 应该,67
616,正 在,67
617,只 猫头鹰,67
618,一 双,67
619,魔法 的,67
620,邓布利多 教授,67
621,眼睛 里,67
622,我 希望,67
623,把 她,67
624,的 那些,67
625,哈利 没有,67
626,脸上 的,67
627,成 了,67
628,了 看,67
629,我 可以,67
630,的 第一,66
631,哈利 感到,66
632,那 头,66
633,不 像,66
634,朝 哈利,66
635,这 一 点,66
636,会 被,65
637,你 也,65
638,走廊 里,65
639,了 出去,65
640,就 能,65
641,着 气,65
642,有 了,65
643,把 它们,65
644,很 难,65
645,还 没,65
646,身 上,65
647,一 场,64
648,早 就,64
649,得 太,64
650,让 他们,64
651,炸 尾螺,64
652,桌 上,64
653,这 只,64
654,了 两,64
655,大声 说,64
656,紧张 地,64
657,我们 在,64
658,如果 我,64
659,住 在,64
660,哈利 也,64
661,把 这,64
662,像 是,64
663,哈利 知道,64
664,摇 了,63
665,看到 了,63
666,开 了,63
667,你 还,63
668,进 了,63
669,吃惊 地,63
670,的 人 都,63
671,最 好 的,63
672,看 了 看,63
673,然后 他,63
674,抓住 了,63
675,的 信,63
676,个 小,63
677,那 双,63
678,的 魔法,63
679,知道 我,63
680,一 只 手,62
681,把 他 的,62
682,了 一 句,62
683,不 许,62
684,在 说,62
685,在 了,62
686,三 个 人,62
687,落 在,62
688,了 过来,62
689,着 什么,62
690,对 哈利 说,62
691,有 几,62
692,朝 他们,62
693,肯定 是,62
694,望 着 哈利,62
695,的 肩膀,62
696,吓 得,62
697,上 了,61
698,这 不,61
699,还 以为,61
700,天狼星 说,61
701,的 几,61
702,可能 是,61
703,也 在,61
704,的 耳朵,61
705,小 天狼星 说,61
706,在 做,61
707,发生 的,61
708,重重 地,61
709,为什么 要,61
710,个 声音,61
711,为什么 不,61
712,的 走廊,61
713,没 见,61
714,有 两,61
715,一 封,61
716,我们 要,61
717,黑暗 中,61
718,在 哪儿,61
719,旁边 的,61
720,一 年,60
721,看 着 他,60
722,教室 里,60
723,着 哈利 的,60
724,我 一直,60
725,一 扇,60
726,打开 了,60
727,是 我们,60
728,每 次,60
729,把 魔杖,60
730,我 去,60
731,了 点,60
732,向 他,60
733,又 把,60
734,他们 是,60
735,意思 是,60
736,本 书,60
737,德思礼 一,59
738,当 他们,59
739,的 长袍,59
740,的 桌子,59
741,但 哈利,59
742,看 着 哈利,59
743,的 箱子,59
744,脑子 里,59
745,我 能,59
746,的 鼻子,59
747,没有 一,59
748,马身 有,59
749,德思礼 一 家,59
750,罗恩 说 着,59
751,没 想到,59
752,的 同学,59
753,不 耐烦 地,59
754,地 在,59
755,知道 自己,59
756,我 已经,59
757,用 一,59
758,和 我,59
759,叫 着,59
760,并 没有,59
761,气愤 地,59
762,耐烦 地,59
763,传来 一,58
764,一 年级,58
765,在 地上,58
766,分钟 后,58
767,的 身体,58
768,他 突然,58
769,没 什么,58
770,意味 着,58
771,就 连,58
772,麻瓜 的,58
773,他 感到,58
774,一 份,58
775,疯 眼汉,58
776,都 有,58
777,了 进去,58
778,闪闪 发亮,58
779,上 次,58
780,个 巫师,58
781,了 进来,57
782,不 去,57
783,着 罗恩,57
784,没 见 过,57
785,先生 的,57
786,摄 魂怪,57
787,真 不,57
788,在 你,57
789,点 了,57
790,的 手指,57
791,哈利 听见,57
792,中 的,57
793,打 了 个,57
794,在 一 个,57
795,个 很,57
796,他 听见,57
797,低声 说,57
798,显得 很,57
799,不停 地,57
800,轻声 说,57
801,给 他们,57
802,一 步,57
803,大概 是,57
804,的 时间,56
805,知道 了,56
806,天 晚上,56
807,我 一,56
808,漆黑 的,56
809,你 把,56
810,到 他,56
811,魁地奇 比赛,56
812,一 段,56
813,直 到,56
814,抱 着,56
815,是 为了,56
816,怎么 啦,56
817,那么 多,56
818,哈利 看到,56
819,了 你,56
820,一 丝,56
821,这 使,56
822,都 知道,56
823,是 怎么 回,56
824,一定 是,56
825,了 摇头,56
826,的 书,56
827,的 最,56
828,奇怪 的,56
829,的 那 个,55
830,头 马身,55
831,每 个 人 都,55
832,挂 着,55
833,头 马身 有,55
834,肯定 会,55
835,两 个 人,55
836,的 窗户,55
837,疯 了,55
838,向 他们,55
839,是 怎么 回 事,55
840,怎么 说,55
841,三 强,55
842,长 着,55
843,夫人 说,55
844,休息室 里,55
845,太 好,54
846,出现 在,54
847,他 看,54
848,弗立维 教授,54
849,用 手,54
850,的 问题,54
851,关上 了,54
852,赫敏 和,54
853,天狼星 的,54
854,听 了,54
855,了 一 大,54
856,了 哈利 的,54
857,我们 就,54
858,一 口 气,54
859,小 天狼星 的,54
860,头 的,54
861,什么 意思,54
862,另 一 个,54
863,里 有,54
864,第二 个,54
865,毫 无,54
866,你们 俩,54
867,的 猫头鹰,54
868,用 的,54
869,发现 了,53
870,他 问,53
871,都 要,53
872,的 飞天 扫帚,53
873,长 得,53
874,摇 了 摇头,53
875,过 他,53
876,谢谢 你,53
877,听 不,53
878,一 个 大,53
879,我 有,53
880,的 飞天,53
881,把 自己,53
882,喘 着 气,53
883,都 被,53
884,认为 他,53
885,着 眼睛,53
886,忘 了,53
887,是 想,53
888,费格 太太,53
889,写 着,53
890,一点儿 也,53
891,急切 地,53
892,的 一切,53
893,用 不,53
894,多 塔楼,53
895,年 前,52
896,神奇 动物,52
897,我 敢,52
898,斯内普 教授,52
899,又 在,52
900,的 意思 是,52
901,我 相信,52
902,我 必须,52
903,魔法 石,52
904,哈利 突然,52
905,鹰 头 马身 有,52
906,鹰 头 马身,52
907,发出 一 声,52
908,罗恩 在,52
909,找 球手,52
910,他 为什么,52
911,几 步,52
912,我 的 意思,52
913,闪 着,52
914,强 争霸赛,52
915,抬起 头,52
916,想 知道,52
917,鹰 头,52
918,是 我 的,52
919,个 不,52
920,能 看见,52
921,着 自己,52
922,后面 的,52
923,三 强 争霸赛,52
924,哈利 可以,52
925,了 自己,52
926,她 是,52
927,的 房间,52
928,地 瞪 着,52
929,麦格 教授 说,51
930,你 看,51
931,一 间,51
932,他 很,51
933,想 着,51
934,卢 平 说,51
935,大大 的,51
936,真 希望,51
937,不 喜欢,51
938,公共 休息室 里,51
939,去 看,51
940,兴奋 地,51
941,平 说,51
942,一 跳,51
943,的 父母,51
944,他 的 魔杖,51
945,就 知道,51
946,不 对,51
947,这么 多,51
948,高兴 地,51
949,很 有,51
950,她 在,51
951,哈利 又,51
952,不 肯,51
953,抬头 望,51
954,你 想,51
955,是 最,51
956,桌子 上,51
957,看见 一,50
958,天狼星 布莱克,50
959,点 头,50
960,可怜 的,50
961,学校 里,50
962,施 了,50
963,我 父亲,50
964,是 他们,50
965,刺耳 的,50
966,你 没,50
967,他 可以,50
968,外面 的,50
969,吸 了,50
970,告诉 我们,50
971,得 不,50
972,什么 的,50
973,我们 都,50
974,坐 了 下来,50
975,被 开除,50
976,在 那,50
977,说 不,50
978,狠狠 地,50
979,他 能,50
980,身 来,50
981,我 对,50
982,我 很,50
983,你 要,50
984,让 哈利,50
985,是 吧,50
986,出 一,50
987,小 天狼星 布莱克,50
988,小小 的,49
989,头 上,49
990,来 吧,49
991,响 了,49
992,告诉 了,49
993,新 的,49
994,给 了,49
995,气 说,49
996,了 点 头,49
997,的 儿子,49
998,整 个,49
999,就 没有,49
1000,了 许多,49
1001,那 两,49
1002,个 男孩,49
1003,古怪 的,49
1004,年级 学生,49
1005,藏 在,49
1006,下 一,49
1007,说 你,49
1008,喜欢 的,49
1009,得 像,49
1010,在 她,49
1011,门厅 里,49
1012,是 什么 意思,49
1013,你 认为,49
1014,没 头,49
1015,你 可以,49
1016,哈利 说 着,49
1017,干 的,49
1018,抬头 望 着,48
1019,魔法 防御,48
1020,扫帚 上,48
1021,他 似乎,48
1022,十 分钟,48
1023,马身 有 翼,48
1024,他 的 声音,48
1025,防御 术,48
1026,对 他们,48
1027,领 着,48
1028,在 黑暗,48
1029,我们 还,48
1030,学院 的,48
1031,小 的,48
1032,你 有,48
1033,都 能,48
1034,他们 说,48
1035,的 男孩,48
1036,躲 在,48
1037,一 看,48
1038,是 这,48
1039,头 来,48
1040,扫 了,48
1041,它 是,48
1042,什么 都,48
1043,你 一,48
1044,说 一,48
1045,有 翼,48
1046,盯 着 哈利,48
1047,马尔福 的,48
1048,也 有,48
1049,韦斯莱 夫人 说,47
1050,很 大 的,47
1051,又 有,47
1052,马尔福 先生,47
1053,没 头 的,47
1054,差点 没,47
1055,是 他 的,47
1056,差点 没 头,47
1057,发现 自己,47
1058,更 多,47
1059,根 魔杖,47
1060,的 咒语,47
1061,德思礼 夫妇,47
1062,黑 魔法 防御,47
1063,你 必须,47
1064,他们 会,47
1065,不 好,47
1066,就 可以,47
1067,会 是,47
1068,看 他,47
1069,的 每 一,47
1070,哈利 还,47
1071,知道 这,47
1072,他 手,47
1073,我 是 说,47
1074,地下 教室,47
1075,只 有 一,47
1076,就 有,46
1077,快 点儿,46
1078,在 地,46
1079,你 为什么,46
1080,的 家伙,46
1081,内 普,46
1082,它 在,46
1083,能 让,46
1084,他们 还,46
1085,有 个,46
1086,我 的 意思 是,46
1087,一点儿 也 不,46
1088,在 做 什么,46
1089,站 着,46
1090,着 赫敏,46
1091,着 气 说,46
1092,感觉 到,46
1093,的 面孔,46
1094,下来 的,46
1095,前 的,46
1096,了 一 口 气,46
1097,霍琦 女士,46
1098,的 腿,46
1099,你 和,46
1100,个 字,46
1101,箱子 里,46
1102,赫敏 在,46
1103,看 得,46
1104,真 的,46
1105,我 看,46
1106,说 了 一,45
1107,这里 的,45
1108,她 把,45
1109,头 马身 有 翼,45
1110,停止 了,45
1111,忍 不,45
1112,也 会,45
1113,还 会,45
1114,尖 叫,45
1115,你 没有,45
1116,你 去,45
1117,差点 没 头 的,45
1118,说 我,45
1119,从 没 见,45
1120,忍 不 住,45
1121,他 最,45
1122,的 脚步声,45
1123,我 不 能,45
1124,课 的,45
1125,他 了,45
1126,有 谁,45
1127,的 脚,45
1128,有 一 种,45
1129,秒 钟,45
1130,扇 门,45
1131,下面 的,45
1132,怎么 会,45
1133,我 告诉,45
1134,的 尼克,44
1135,太 好 了,44
1136,它们 的,44
1137,一起 去,44
1138,手 里 的,44
1139,我们 必须,44
1140,用 不 着,44
1141,快 走,44
1142,地 站,44
1143,一 堆,44
1144,各 种,44
1145,似 的,44
1146,场地 上,44
1147,她 不,44
1148,了 很,44
1149,头 的 尼克,44
1150,从 没 见 过,44
1151,没 头 的 尼克,44
1152,的 孩子,44
1153,一边 把,44
1154,的 哈利,44
1155,听 我,44
1156,的 主人,44
1157,四 个,44
1158,会 知道,44
1159,魔法 防御 术,44
1160,他 怎么,44
1161,不 会 有,44
1162,穆迪 说,44
1163,了 一 种,44
1164,说话 的,44
1165,黑 魔法 防御 术,44
1166,在 魔法,44
1167,能 听见,44
1168,又 一 次,44
1169,起来 了,44
1170,声音 在,44
1171,那 件,44
1172,了 一 遍,44
1173,一 个 很,44
1174,的 最后,44
1175,有 许多,44
1176,想 不,44
1177,的 小屋,43
1178,了 魔法,43
1179,哈利 赶紧,43
1180,任何 人,43
1181,的 另,43
1182,了 一会儿,43
1183,窗 外,43
1184,的 这,43
1185,如果 我们,43
1186,严厉 地,43
1187,的 另 一,43
1188,鹰 头 马身 有 翼,43
1189,他 现在,43
1190,你们 在,43
1191,他们 三,43
1192,一 群,43
1193,每 天,43
1194,走 过,43
1195,的 了,43
1196,敢 说,43
1197,飞 了,43
1198,很 高兴,43
1199,棒 了,43
1200,有 一些,43
1201,我 刚才,43
1202,两 边,43
1203,格兰芬 多 塔楼,43
1204,桌子 旁,43
1205,敲 了,43
1206,拖 着,43
1207,洛丽丝 夫人,43
1208,几 句,43
1209,的 女巫,42
1210,上 有,42
1211,一 团,42
1212,斯普劳特 教授,42
1213,太 棒 了,42
1214,金色 的,42
1215,差点 没 头 的 尼克,42
1216,跟 他们,42
1217,姨父 的,42
1218,几 秒 钟,42
1219,能 在,42
1220,一 对,42
1221,迪戈里 先生,42
1222,格兰芬 多 队,42
1223,几 秒,42
1224,的 身影,42
1225,他 只,42
1226,再 说,42
1227,我们 可以,42
1228,他 身边,42
1229,了 罗恩,42
1230,太 棒,42
1231,留 在,42
1232,的 魁地奇,42
1233,看到 哈利,42
1234,哈利 想,42
1235,你们 知道,42
1236,掏出 一,42
1237,平静 地,42
1238,就 一直,42
1239,有 人 在,42
1240,不 需要,42
1241,对 她,42
1242,的 其他,42
1243,多 队,42
1244,知道 吗,42
1245,见 了,41
1246,他 必须,41
1247,使 哈利,41
1248,的 新,41
1249,我 猜,41
1250,了 它,41
1251,他们 把,41
1252,比 他,41
1253,不 清,41
1254,有 翼 兽,41
1255,些 什么,41
1256,孪生 兄弟,41
1257,了 我 的,41
1258,翼 兽,41
1259,的 口气,41
1260,可是 他,41
1261,在 学校,41
1262,胖 夫人,41
1263,点 了 点,41
1264,这 才,41
1265,只 猫,41
1266,吃 了,41
1267,自己 在,41
1268,事 吧,41
1269,着 魔杖,41
1270,好像 是,41
1271,不 相信,41
1272,穆迪 的,41
1273,脑海 里,41
1274,金色 飞贼,41
1275,不 是 一,41
1276,来 得,41
1277,巫师 的,41
1278,让 它,41
1279,举 着,41
1280,了 一 只,41
1281,一 套,41
1282,谁 也 不,41
1283,马身 有 翼 兽,41
1284,会 在,41
1285,呆呆 地,41
1286,告诉 过,41
1287,鬼 飞球,41
1288,想起 了,41
1289,又 说,41
1290,在 哪里,40
1291,他 有,40
1292,上面 的,40
1293,希望 你,40
1294,举起 魔杖,40
1295,你 了,40
1296,的 头,40
1297,把 门,40
1298,地 走,40
1299,地面 上,40
1300,里 拿,40
1301,说 的 话,40
1302,马尔福 说,40
1303,隔 着,40
1304,要 给,40
1305,那 本,40
1306,这 是 什么,40
1307,斯内普 说,40
1308,格兰杰 小姐,40
1309,全 都,40
1310,是 有,40
1311,在 什么,40
1312,的 口袋,40
1313,不 愿,40
1314,课 上,40
1315,快 要,40
1316,用 了,40
1317,身 后,40
1318,许多 人,40
1319,如果 他们,40
1320,见 过 的,40
1321,走进 了,40
1322,觉得 这,40
1323,头顶 上,40
1324,点 了 点 头,40
1325,被 一,40
1326,真是 太,40
1327,身后 的,40
1328,几 个 人,40
1329,过 你,40
1330,对 罗恩,39
1331,她 一,39
1332,沉重 的,39
1333,大 狗,39
1334,奥利凡德 先生,39
1335,高 的,39
1336,话 来,39
1337,全 班,39
1338,一 顶,39
1339,要 在,39
1340,下 的,39
1341,塞德里克 的,39
1342,着 小,39
1343,我 不 是,39
1344,小心 地,39
1345,放 着,39
1346,都 没,39
1347,从 他们,39
1348,不 见 了,39
1349,盯 着 他,39
1350,博格 特,39
1351,还 能,39
1352,行 了,39
1353,吃 早饭,39
1354,得 对,39
1355,哈利 对,39
1356,笑 得,39
1357,可以 看见,39
1358,跳 了,39
1359,花 了,39
1360,是 被,39
1361,个 人 的,39
1362,我 只是,39
1363,我 爸爸,39
1364,来 看,39
1365,在 黑暗 中,39
1366,只 想,39
1367,城堡 里,39
1368,达力 的,39
1369,头 马身 有 翼 兽,39
1370,气呼呼 地,39
1371,他们 听见,39
1372,夫人 的,39
1373,她 就,39
1374,恢复 了,39
1375,魔法部 的,39
1376,很 长,39
1377,不 是 吗,38
1378,城堡 的,38
1379,拍 了,38
1380,厨房 里,38
1381,之间 的,38
1382,他 身,38
1383,的 衣服,38
1384,再 也 不,38
1385,它 就,38
1386,天花板 上,38
1387,的 那 一,38
1388,哈利 很,38
1389,似乎 在,38
1390,纳威 的,38
1391,他 看到,38
1392,没有 看见,38
1393,上 一,38
1394,现在 就,38
1395,厚厚 的,38
1396,你 爸爸,38
1397,哈利 小声,38
1398,争霸赛 的,38
1399,然后 又,38
1400,一 句 话,38
1401,我们 会,38
1402,大理石 楼梯,38
1403,玛姬 姑妈,38
1404,一 把 抓住,38
1405,打 着,38
1406,因为 我,38
1407,愉快 的,38
1408,到处 都,38
1409,两 次,38
1410,告诉 他们,38
1411,一 封 信,38
1412,他 脸上,38
1413,没有 把,38
1414,弗农 姨父 的,38
1415,好像 他,38
1416,把 抓住,38
1417,他 走,38
1418,的 楼梯,38
1419,会 不,38
1420,一 辆,38
1421,他 说话,38
1422,的 公共,38
1423,我 只,38
1424,同学 都,38
1425,这 一切,38
1426,一 只 猫头鹰,38
1427,这 是 一 个,38
1428,找到 了,38
1429,了 下去,38
1430,他 才,38
1431,也 不 知道,38
1432,的 吗,38
1433,喝 了,38
1434,时 的,38
1435,的 老,38
1436,在 我们,38
1437,家庭 作业,38
1438,只 魔眼,38
1439,把 椅子,38
1440,他 手 里,37
1441,在 上面,37
1442,地 笑 了,37
1443,才 不,37
1444,和 其他,37
1445,知道 是,37
1446,五 分钟,37
1447,怎么 可能,37
1448,术 课,37
1449,斯 内 普,37
1450,我 觉得,37
1451,重要 的,37
