Type,Pattern,Characters,Pinyin_Sequence,Num_Characters,Tones,Avg_Frequency,Difficulty,Tongue_Twister_Example,Notes
Tone_Series,dui,堆对队,dui1-dui4-dui4,3,"Tone1, Tone4, Tone4",86,Easy,堆对队，队对堆,"3 tone variants of ""dui"""
Tone_Series,he,喝和何合盒赫贺,he1-he2-he2-he2-he2-he4-he4,7,"Tone1, Tone2, Tone2, Tone2, Tone2, Tone4, Tone4",84,Medium,喝和何合盒赫贺喝和何,"7 tone variants of ""he"""
Tone_Series,tou,偷头投透,tou1-tou2-tou2-tou4,4,"Tone1, Tone2, Tone2, Tone4",80,Medium,偷偷投，投头透,"4 tone variants of ""tou"""
Tone_Series,ba,巴疤八拔把爸霸吧,ba1-ba1-ba1-ba2-ba3-ba4-ba4-ba,8,"Tone1, Tone1, Tone1, Tone2, Tone3, Tone4, Tone4, Neutral",78,Medium,巴疤八拔把爸霸吧巴疤八,"8 tone variants of ""ba"""
Tone_Series,hao,毫好号,hao2-hao3-hao4,3,"Tone2, Tone3, Tone4",77,Easy,毫好号，号好毫,"3 tone variants of ""hao"""
Tone_Series,sheng,声生升绳圣剩盛胜,sheng1-sheng1-sheng1-sheng2-sheng4-sheng4-sheng4-sheng4,8,"Tone1, Tone1, Tone1, Tone2, Tone4, Tone4, Tone4, Tone4",75,Medium,声生升绳圣剩盛胜声生升,"8 tone variants of ""sheng"""
Tone_Series,guo,埚国果裹过,guo1-guo2-guo3-guo3-guo4,5,"Tone1, Tone2, Tone3, Tone3, Tone4",72,Medium,埚国果裹过埚国果,"5 tone variants of ""guo"""
Tone_Series,xia,狭下吓夏,xia2-xia4-xia4-xia4,4,"Tone2, Tone4, Tone4, Tone4",70,Medium,狭狭吓，吓下夏,"4 tone variants of ""xia"""
Tone_Series,da,搭耷达答哒打大,da1-da1-da2-da2-da2-da3-da4,7,"Tone1, Tone1, Tone2, Tone2, Tone2, Tone3, Tone4",69,Medium,搭耷达答哒打大搭耷达,"7 tone variants of ""da"""
Tone_Series,xiao,消哮小笑校肖效,xiao1-xiao1-xiao3-xiao4-xiao4-xiao4-xiao4,7,"Tone1, Tone1, Tone3, Tone4, Tone4, Tone4, Tone4",68,Medium,消哮小笑校肖效消哮小,"7 tone variants of ""xiao"""
Tone_Series,zi,兹滋姿资紫自字子,zi1-zi1-zi1-zi1-zi3-zi4-zi4-zi,8,"Tone1, Tone1, Tone1, Tone1, Tone3, Tone4, Tone4, Neutral",67,Medium,兹滋姿资紫自字子兹滋姿,"8 tone variants of ""zi"""
Tone_Series,shen,身深伸呻什神审甚,shen1-shen1-shen1-shen1-shen2-shen2-shen3-shen4,8,"Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone3, Tone4",67,Medium,身深伸呻什神审甚身深伸,"8 tone variants of ""shen"""
Tone_Series,hai,还孩骸海害,hai2-hai2-hai2-hai3-hai4,5,"Tone2, Tone2, Tone2, Tone3, Tone4",66,Medium,还孩骸海害还孩骸,"5 tone variants of ""hai"""
Tone_Series,you,优幽忧悠由游油犹有友又右佑诱,you1-you1-you1-you1-you2-you2-you2-you2-you3-you3-you4-you4-you4-you4,14,"Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4",65,Medium,优幽忧悠由游油犹有友又右佑诱优幽忧,"14 tone variants of ""you"""
Tone_Series,shi,师失施湿尸狮时十实识石食拾使始史是事室似士视世试释适势式示饰誓匙,shi1-shi1-shi1-shi1-shi1-shi1-shi2-shi2-shi2-shi2-shi2-shi2-shi2-shi3-shi3-shi3-shi4-shi4-shi4-shi4-shi4-shi4-shi4-shi4-shi4-shi4-shi4-shi4-shi4-shi4-shi4-shi,32,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Neutral",63,Medium,师失施湿尸狮时十实识石食拾使始史是事室似士视世试释适势式示饰誓匙师失施,"32 tone variants of ""shi"""
Tone_Series,ke,棵科颗可克课刻客,ke1-ke1-ke1-ke3-ke4-ke4-ke4-ke4,8,"Tone1, Tone1, Tone1, Tone3, Tone4, Tone4, Tone4, Tone4",62,Medium,棵科颗可克课刻客棵科颗,"8 tone variants of ""ke"""
Tone_Series,dou,都兜抖斗豆逗,dou1-dou1-dou3-dou4-dou4-dou4,6,"Tone1, Tone1, Tone3, Tone4, Tone4, Tone4",60,Medium,都兜抖斗豆逗都兜抖,"6 tone variants of ""dou"""
Tone_Series,tian,天添填,tian1-tian1-tian2,3,"Tone1, Tone1, Tone2",60,Easy,天添填，填添天,"3 tone variants of ""tian"""
Tone_Series,er,儿而尔耳二,er2-er2-er3-er3-er4,5,"Tone2, Tone2, Tone3, Tone3, Tone4",59,Medium,儿而尔耳二儿而尔,"5 tone variants of ""er"""
Tone_Series,hen,痕很狠恨,hen2-hen3-hen3-hen4,4,"Tone2, Tone3, Tone3, Tone4",58,Medium,痕痕狠，狠很恨,"4 tone variants of ""hen"""
Tone_Series,ran,然燃染,ran2-ran2-ran3,3,"Tone2, Tone2, Tone3",58,Easy,然燃染，染燃然,"3 tone variants of ""ran"""
Tone_Series,hui,挥徽灰恢回毁会惠,hui1-hui1-hui1-hui1-hui2-hui3-hui4-hui4,8,"Tone1, Tone1, Tone1, Tone1, Tone2, Tone3, Tone4, Tone4",56,Medium,挥徽灰恢回毁会惠挥徽灰,"8 tone variants of ""hui"""
Tone_Series,mian,绵勉面,mian2-mian3-mian4,3,"Tone2, Tone3, Tone4",56,Easy,绵勉面，面勉绵,"3 tone variants of ""mian"""
Tone_Series,luo,罗螺落洛摞,luo2-luo2-luo4-luo4-luo4,5,"Tone2, Tone2, Tone4, Tone4, Tone4",54,Medium,罗螺落洛摞罗螺落,"5 tone variants of ""luo"""
Tone_Series,duo,多哆夺踱朵躲,duo1-duo1-duo2-duo2-duo3-duo3,6,"Tone1, Tone1, Tone2, Tone2, Tone3, Tone3",52,Medium,多哆夺踱朵躲多哆夺,"6 tone variants of ""duo"""
Tone_Series,cong,匆聪囱从丛,cong1-cong1-cong1-cong2-cong2,5,"Tone1, Tone1, Tone1, Tone2, Tone2",52,Medium,匆聪囱从丛匆聪囱,"5 tone variants of ""cong"""
Tone_Series,gao,高糕搞告,gao1-gao1-gao3-gao4,4,"Tone1, Tone1, Tone3, Tone4",51,Medium,高高搞，搞糕告,"4 tone variants of ""gao"""
Tone_Series,yong,拥勇永用,yong1-yong3-yong3-yong4,4,"Tone1, Tone3, Tone3, Tone4",48,Medium,拥拥永，永勇用,"4 tone variants of ""yong"""
Tone_Series,hou,喉吼后候厚,hou2-hou3-hou4-hou4-hou4,5,"Tone2, Tone3, Tone4, Tone4, Tone4",48,Medium,喉吼后候厚喉吼后,"5 tone variants of ""hou"""
Tone_Series,zhang,张章长涨掌杖帐胀,zhang1-zhang1-zhang3-zhang3-zhang3-zhang4-zhang4-zhang4,8,"Tone1, Tone1, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4",46,Medium,张章长涨掌杖帐胀张章长,"8 tone variants of ""zhang"""
Tone_Series,xiang,相箱厢香镶祥详想响像向项象巷橡,xiang1-xiang1-xiang1-xiang1-xiang1-xiang2-xiang2-xiang3-xiang3-xiang4-xiang4-xiang4-xiang4-xiang4-xiang4,15,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",44,Medium,相箱厢香镶祥详想响像向项象巷橡相箱厢,"15 tone variants of ""xiang"""
Tone_Series,chang,常场敞,chang2-chang3-chang3,3,"Tone2, Tone3, Tone3",44,Easy,常场敞，敞场常,"3 tone variants of ""chang"""
Tone_Series,jiu,究纠揪酒久九就旧救,jiu1-jiu1-jiu1-jiu3-jiu3-jiu3-jiu4-jiu4-jiu4,9,"Tone1, Tone1, Tone1, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4",43,Medium,究纠揪酒久九就旧救究纠揪,"9 tone variants of ""jiu"""
Tone_Series,qu,曲区躯黢取去趣,qu1-qu1-qu1-qu1-qu3-qu4-qu4,7,"Tone1, Tone1, Tone1, Tone1, Tone3, Tone4, Tone4",43,Medium,曲区躯黢取去趣曲区躯,"7 tone variants of ""qu"""
Tone_Series,ye,爷也夜业叶页液,ye2-ye3-ye4-ye4-ye4-ye4-ye4,7,"Tone2, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4",42,Medium,爷也夜业叶页液爷也夜,"7 tone variants of ""ye"""
Tone_Series,xin,心新欣辛信,xin1-xin1-xin1-xin1-xin4,5,"Tone1, Tone1, Tone1, Tone1, Tone4",42,Medium,心新欣辛信心新欣,"5 tone variants of ""xin"""
Tone_Series,xue,削学穴雪血,xue1-xue2-xue2-xue3-xue4,5,"Tone1, Tone2, Tone2, Tone3, Tone4",41,Medium,削学穴雪血削学穴,"5 tone variants of ""xue"""
Tone_Series,mei,没眉霉梅猸枚玫每美媚妹寐,mei2-mei2-mei2-mei2-mei2-mei2-mei2-mei3-mei3-mei4-mei4-mei4,12,"Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4, Tone4",40,Medium,没眉霉梅猸枚玫每美媚妹寐没眉霉,"12 tone variants of ""mei"""
Tone_Series,shou,收手守首授受兽瘦,shou1-shou3-shou3-shou3-shou4-shou4-shou4-shou4,8,"Tone1, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4",40,Medium,收手守首授受兽瘦收手守,"8 tone variants of ""shou"""
Tone_Series,qi,期漆七妻凄戚栖奇其骑琦起气汽泣器弃,qi1-qi1-qi1-qi1-qi1-qi1-qi1-qi2-qi2-qi2-qi2-qi3-qi4-qi4-qi4-qi4-qi4,17,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4",39,Medium,期漆七妻凄戚栖奇其骑琦起气汽泣器弃期漆七,"17 tone variants of ""qi"""
Tone_Series,zhong,中钟终忠种重众,zhong1-zhong1-zhong1-zhong1-zhong3-zhong4-zhong4,7,"Tone1, Tone1, Tone1, Tone1, Tone3, Tone4, Tone4",39,Medium,中钟终忠种重众中钟终,"7 tone variants of ""zhong"""
Tone_Series,wang,汪王亡往望忘,wang1-wang2-wang2-wang3-wang4-wang4,6,"Tone1, Tone2, Tone2, Tone3, Tone4, Tone4",38,Medium,汪王亡往望忘汪王亡,"6 tone variants of ""wang"""
Tone_Series,dong,东懂动洞冻,dong1-dong3-dong4-dong4-dong4,5,"Tone1, Tone3, Tone4, Tone4, Tone4",38,Medium,东懂动洞冻东懂动,"5 tone variants of ""dong"""
Tone_Series,chu,出除厨蜍橱楚储处搐触,chu1-chu2-chu2-chu2-chu2-chu3-chu3-chu4-chu4-chu4,10,"Tone1, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4, Tone4",37,Medium,出除厨蜍橱楚储处搐触出除厨,"10 tone variants of ""chu"""
Tone_Series,gan,尴坩感敢赶干,gan1-gan1-gan3-gan3-gan3-gan4,6,"Tone1, Tone1, Tone3, Tone3, Tone3, Tone4",37,Medium,尴坩感敢赶干尴坩感,"6 tone variants of ""gan"""
Tone_Series,yao,妖腰邀摇遥咬要药耀钥,yao1-yao1-yao1-yao2-yao2-yao3-yao4-yao4-yao4-yao4,10,"Tone1, Tone1, Tone1, Tone2, Tone2, Tone3, Tone4, Tone4, Tone4, Tone4",35,Medium,妖腰邀摇遥咬要药耀钥妖腰邀,"10 tone variants of ""yao"""
Tone_Series,san,三伞散,san1-san3-san4,3,"Tone1, Tone3, Tone4",35,Easy,三伞散，散伞三,"3 tone variants of ""san"""
Tone_Series,nian,年黏念,nian2-nian2-nian4,3,"Tone2, Tone2, Tone4",35,Easy,年黏念，念黏年,"3 tone variants of ""nian"""
Tone_Series,ting,听厅停庭廷挺,ting1-ting1-ting2-ting2-ting2-ting3,6,"Tone1, Tone1, Tone2, Tone2, Tone2, Tone3",34,Medium,听厅停庭廷挺听厅停,"6 tone variants of ""ting"""
Tone_Series,bian,边编蝙变遍便,bian1-bian1-bian1-bian4-bian4-bian4,6,"Tone1, Tone1, Tone1, Tone4, Tone4, Tone4",34,Medium,边编蝙变遍便边编蝙,"6 tone variants of ""bian"""
Tone_Series,shui,谁水睡,shui2-shui3-shui4,3,"Tone2, Tone3, Tone4",34,Easy,谁水睡，睡水谁,"3 tone variants of ""shui"""
Tone_Series,tai,胎台抬太态,tai1-tai2-tai2-tai4-tai4,5,"Tone1, Tone2, Tone2, Tone4, Tone4",33,Medium,胎台抬太态胎台抬,"5 tone variants of ""tai"""
Tone_Series,fang,方房防妨仿放,fang1-fang2-fang2-fang2-fang3-fang4,6,"Tone1, Tone2, Tone2, Tone2, Tone3, Tone4",33,Medium,方房防妨仿放方房防,"6 tone variants of ""fang"""
Tone_Series,jian,间尖肩坚监艰简捡剪检见件箭建渐健剑键,jian1-jian1-jian1-jian1-jian1-jian1-jian3-jian3-jian3-jian3-jian4-jian4-jian4-jian4-jian4-jian4-jian4-jian4,18,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone3, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",32,Medium,间尖肩坚监艰简捡剪检见件箭建渐健剑键间尖肩,"18 tone variants of ""jian"""
Tone_Series,zuo,昨琢左佐做坐作座,zuo2-zuo2-zuo3-zuo3-zuo4-zuo4-zuo4-zuo4,8,"Tone2, Tone2, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4",32,Medium,昨琢左佐做坐作座昨琢左,"8 tone variants of ""zuo"""
Tone_Series,si,斯思丝嘶司撕私咝死四饲,si1-si1-si1-si1-si1-si1-si1-si1-si3-si4-si4,11,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone3, Tone4, Tone4",31,Medium,斯思丝嘶司撕私咝死四饲斯思丝,"11 tone variants of ""si"""
Tone_Series,dian,甸点店电,dian1-dian3-dian4-dian4,4,"Tone1, Tone3, Tone4, Tone4",31,Medium,甸甸店，店点电,"4 tone variants of ""dian"""
Tone_Series,ma,妈麻蟆马玛骂吗,ma1-ma2-ma2-ma3-ma3-ma4-ma,7,"Tone1, Tone2, Tone2, Tone3, Tone3, Tone4, Neutral",31,Medium,妈麻蟆马玛骂吗妈麻蟆,"7 tone variants of ""ma"""
Tone_Series,ding,盯丁顶鼎定,ding1-ding1-ding3-ding3-ding4,5,"Tone1, Tone1, Tone3, Tone3, Tone4",31,Medium,盯丁顶鼎定盯丁顶,"5 tone variants of ""ding"""
Tone_Series,ming,明名冥鸣命,ming2-ming2-ming2-ming2-ming4,5,"Tone2, Tone2, Tone2, Tone2, Tone4",31,Medium,明名冥鸣命明名冥,"5 tone variants of ""ming"""
Tone_Series,deng,灯蹬等邓瞪凳,deng1-deng1-deng3-deng4-deng4-deng4,6,"Tone1, Tone1, Tone3, Tone4, Tone4, Tone4",30,Medium,灯蹬等邓瞪凳灯蹬等,"6 tone variants of ""deng"""
Tone_Series,zhi,知之支枝蜘吱汁直值执植职只指止纸治制置至致志智滞质,zhi1-zhi1-zhi1-zhi1-zhi1-zhi1-zhi1-zhi2-zhi2-zhi2-zhi2-zhi2-zhi3-zhi3-zhi3-zhi3-zhi4-zhi4-zhi4-zhi4-zhi4-zhi4-zhi4-zhi4-zhi4,25,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",29,Medium,知之支枝蜘吱汁直值执植职只指止纸治制置至致志智滞质知之支,"25 tone variants of ""zhi"""
Tone_Series,jiao,交焦跤骄脚角搅狡教叫较,jiao1-jiao1-jiao1-jiao1-jiao3-jiao3-jiao3-jiao3-jiao4-jiao4-jiao4,11,"Tone1, Tone1, Tone1, Tone1, Tone3, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4",28,Medium,交焦跤骄脚角搅狡教叫较交焦跤,"11 tone variants of ""jiao"""
Tone_Series,yin,音因阴银吟隐引印,yin1-yin1-yin1-yin2-yin2-yin3-yin3-yin4,8,"Tone1, Tone1, Tone1, Tone2, Tone2, Tone3, Tone3, Tone4",28,Medium,音因阴银吟隐引印音因阴,"8 tone variants of ""yin"""
Tone_Series,dai,呆袋带待戴代,dai1-dai4-dai4-dai4-dai4-dai4,6,"Tone1, Tone4, Tone4, Tone4, Tone4, Tone4",28,Medium,呆袋带待戴代呆袋带,"6 tone variants of ""dai"""
Tone_Series,guang,光广逛,guang1-guang3-guang4,3,"Tone1, Tone3, Tone4",27,Easy,光广逛，逛广光,"3 tone variants of ""guang"""
Tone_Series,fei,飞非妃肥费,fei1-fei1-fei1-fei2-fei4,5,"Tone1, Tone1, Tone1, Tone2, Tone4",27,Medium,飞非妃肥费飞非妃,"5 tone variants of ""fei"""
Tone_Series,nao,脑恼闹,nao3-nao3-nao4,3,"Tone3, Tone3, Tone4",27,Easy,脑恼闹，闹恼脑,"3 tone variants of ""nao"""
Tone_Series,mo,摸魔模摩磨膜抹莫默墨沫末漠,mo1-mo2-mo2-mo2-mo2-mo2-mo3-mo4-mo4-mo4-mo4-mo4-mo4,13,"Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",26,Medium,摸魔模摩磨膜抹莫默墨沫末漠摸魔模,"13 tone variants of ""mo"""
Tone_Series,liang,凉踉两亮量辆谅,liang2-liang2-liang3-liang4-liang4-liang4-liang4,7,"Tone2, Tone2, Tone3, Tone4, Tone4, Tone4, Tone4",26,Medium,凉踉两亮量辆谅凉踉两,"7 tone variants of ""liang"""
Tone_Series,xing,星兴形行型醒擤幸性,xing1-xing1-xing2-xing2-xing2-xing3-xing3-xing4-xing4,9,"Tone1, Tone1, Tone2, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4",26,Medium,星兴形行型醒擤幸性星兴形,"9 tone variants of ""xing"""
Tone_Series,jin,金今巾襟紧尽仅进近禁劲噤,jin1-jin1-jin1-jin1-jin3-jin3-jin3-jin4-jin4-jin4-jin4-jin4,12,"Tone1, Tone1, Tone1, Tone1, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4",26,Medium,金今巾襟紧尽仅进近禁劲噤金今巾,"12 tone variants of ""jin"""
Tone_Series,ci,茨词慈此次刺,ci2-ci2-ci2-ci3-ci4-ci4,6,"Tone2, Tone2, Tone2, Tone3, Tone4, Tone4",26,Medium,茨词慈此次刺茨词慈,"6 tone variants of ""ci"""
Tone_Series,yang,央羊洋阳扬养仰样,yang1-yang2-yang2-yang2-yang2-yang3-yang3-yang4,8,"Tone1, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone4",25,Medium,央羊洋阳扬养仰样央羊洋,"8 tone variants of ""yang"""
Tone_Series,xian,先鲜咸闲显险现线羡陷馅,xian1-xian1-xian2-xian2-xian3-xian3-xian4-xian4-xian4-xian4-xian4,11,"Tone1, Tone1, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4",25,Medium,先鲜咸闲显险现线羡陷馅先鲜咸,"11 tone variants of ""xian"""
Tone_Series,jia,家加夹颊假贾甲价架,jia1-jia1-jia1-jia2-jia3-jia3-jia3-jia4-jia4,9,"Tone1, Tone1, Tone1, Tone2, Tone3, Tone3, Tone3, Tone4, Tone4",25,Medium,家加夹颊假贾甲价架家加夹,"9 tone variants of ""jia"""
Tone_Series,jue,觉决绝爵嚼,jue2-jue2-jue2-jue2-jue2,5,"Tone2, Tone2, Tone2, Tone2, Tone2",25,Medium,觉决绝爵嚼觉决绝,"5 tone variants of ""jue"""
Tone_Series,qing,清轻倾青情请庆,qing1-qing1-qing1-qing1-qing2-qing3-qing4,7,"Tone1, Tone1, Tone1, Tone1, Tone2, Tone3, Tone4",25,Medium,清轻倾青情请庆清轻倾,"7 tone variants of ""qing"""
Tone_Series,chuan,穿传船喘串,chuan1-chuan2-chuan2-chuan3-chuan4,5,"Tone1, Tone2, Tone2, Tone3, Tone4",25,Medium,穿传船喘串穿传船,"5 tone variants of ""chuan"""
Tone_Series,chuang,窗床闯,chuang1-chuang2-chuang3,3,"Tone1, Tone2, Tone3",25,Easy,窗床闯，闯床窗,"3 tone variants of ""chuang"""
Tone_Series,wei,微危威薇韦围唯维帷违尾委伟为位味未慰卫胃,wei1-wei1-wei1-wei1-wei2-wei2-wei2-wei2-wei2-wei2-wei3-wei3-wei3-wei4-wei4-wei4-wei4-wei4-wei4-wei4,20,"Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",24,Medium,微危威薇韦围唯维帷违尾委伟为位味未慰卫胃微危威,"20 tone variants of ""wei"""
Tone_Series,jing,睛经惊精茎兢晶警景静镜竟径净境竞,jing1-jing1-jing1-jing1-jing1-jing1-jing1-jing3-jing3-jing4-jing4-jing4-jing4-jing4-jing4-jing4,16,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",24,Medium,睛经惊精茎兢晶警景静镜竟径净境竞睛经惊,"16 tone variants of ""jing"""
Tone_Series,tiao,挑条跳眺,tiao1-tiao2-tiao4-tiao4,4,"Tone1, Tone2, Tone4, Tone4",24,Medium,挑挑跳，跳条眺,"4 tone variants of ""tiao"""
Tone_Series,lian,连怜联帘脸练链,lian2-lian2-lian2-lian2-lian3-lian4-lian4,7,"Tone2, Tone2, Tone2, Tone2, Tone3, Tone4, Tone4",23,Medium,连怜联帘脸练链连怜联,"7 tone variants of ""lian"""
Tone_Series,su,诉宿速肃塑,su4-su4-su4-su4-su4,5,"Tone4, Tone4, Tone4, Tone4, Tone4",23,Medium,诉宿速肃塑诉宿速,"5 tone variants of ""su"""
Tone_Series,zheng,争睁挣怔整正证,zheng1-zheng1-zheng1-zheng1-zheng3-zheng4-zheng4,7,"Tone1, Tone1, Tone1, Tone1, Tone3, Tone4, Tone4",23,Medium,争睁挣怔整正证争睁挣,"7 tone variants of ""zheng"""
Tone_Series,bei,杯悲碑被备背辈倍贝,bei1-bei1-bei1-bei4-bei4-bei4-bei4-bei4-bei4,9,"Tone1, Tone1, Tone1, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",22,Medium,杯悲碑被备背辈倍贝杯悲碑,"9 tone variants of ""bei"""
