Order Number,Item,Pinyin,Frequency,Definition,Usage,Part_of_Speech,Status
12,我,wo3,789,The first-person singular pronoun meaning 'I' or 'me'. One of the most fundamental and frequently used words in Mandarin Chinese.,Used as the subject (我是学生 - I am a student) or object (他看见我 - He sees me) in sentences,pronoun,success
13,哈,ha1,718,An onomatopoeia representing laughter or a sound of exhaling; also used as a phonetic component in transliterations of foreign words,"Common in expressions like 哈哈 (haha, laughter) and names like 哈尔滨 (Harbin)",onomatopoeia/interjection,success
14,说,shuo1,692,"To say, speak, or talk; to explain or tell something to someone.","Common in everyday conversation, as in 说话 (to speak) or 他说 (he says)",verb,success
15,们,men,653,Plural suffix added to pronouns and nouns referring to people to indicate more than one person.,"Used in words like 我们 (we/us), 你们 (you all), 孩子们 (children)",particle,success
16,有,you3,648,"To have, to possess, or to exist. This is one of the most fundamental verbs in Mandarin, used to indicate possession or the existence of something.",Common in phrases like 我有书 (I have a book) or 有问题 (there is a problem),verb,success
17,上,shang4,620,"Indicates upward direction, position above, or going onto/up something; also means 'previous' or 'last' when referring to time, and 'to go to' or 'to attend' as a verb.","Common in phrases like 上面 (above/on top), 上车 (get on a vehicle), 上课 (attend class), 上个月 (last month)",noun/verb/localizer,success
18,你,ni3,614,"The second-person singular pronoun meaning 'you', used when addressing one person directly.",Used in greetings like 你好 (hello) and questions like 你叫什么名字? (What's your name?),pronoun,success
19,里,li3,610,"Inside, within, or in; indicates location or position inside something. Also used as a unit of distance (Chinese mile, approximately 0.5 km).","Common in phrases like 家里 (at home), 心里 (in one's heart), 这里 (here)",noun/localizer,success
20,这,zhe4,574,"Demonstrative pronoun meaning 'this' or 'these', used to indicate something close to the speaker in space, time, or context.","Used in phrases like 这个 (this one), 这里 (here), 这是 (this is)",pronoun,success
21,来,lai2,525,To come or arrive; to move toward the speaker or a reference point. Also used as a verb complement indicating direction toward the speaker.,"Common in phrases like 来中国 (come to China), 过来 (come over), 起来 (get up/rise up)",verb,success
22,那,na4,477,"Demonstrative pronoun meaning 'that' or 'those', used to refer to something distant from the speaker. Can also function as 'in that case' or 'then' when used as a conjunction.","Common in phrases like 那个 (that one), 那里 (there), 那么 (then/in that case)",pronoun/conjunction,success
23,人,ren2,476,Person or people; human being. One of the most fundamental Chinese characters referring to individuals or humanity in general.,"Used in countless compounds like 中国人 (Chinese person), 人们 (people), 好人 (good person)",noun,success
24,到,dao4,469,To arrive at or reach a destination; also used as a resultative complement meaning 'successfully completed' or 'up until (a time)'.,"Common in phrases like 到了 (arrived), 看到 (saw/catch sight of), 从...到... (from...to...)",verb,success
25,么,me,454,"A suffix particle used at the end of questions and certain words to soften tone or indicate uncertainty. Most commonly seen in question words like 什么 (shénme, what) and 怎么 (zěnme, how).",Rarely used alone; typically appears as part of compound question words,particle,success
26,把,ba3,433,"A grammatical particle used to move the object before the verb, emphasizing that an action is done to something specific. Also used as a measure word for objects with handles or things that can be grasped.",Common in sentences like 把门关上 (close the door) or 一把椅子 (a chair),particle/measure word,success
27,看,kan4,419,"To look at, to see, or to watch; also means to read or to visit someone.","Common in phrases like 看书 (read a book), 看电视 (watch TV), 看医生 (see a doctor)",verb,success
28,得,de2,399,"To get, obtain, or acquire something; to gain or receive.",Common in phrases like 得到 (to obtain) and 获得 (to gain). Also means 'must' when followed by a verb.,verb,success
29,没,mei2,371,Negation word meaning 'not have' or 'did not'; used to negate past actions or indicate absence/lack of something.,"Common in phrases like 没有 (don't have/didn't), 没关系 (it doesn't matter), and 我没去 (I didn't go)",adverb,success
30,和,he2,358,"A conjunction meaning 'and' that connects nouns, pronouns, or noun phrases together.","Used in phrases like 你和我 (you and me), 苹果和橙子 (apples and oranges)",conjunction,success
31,大,da4,356,"Big, large, or great in size, scale, or importance. One of the most fundamental adjectives in Mandarin for describing physical size or significance.","Used in common words like 大学 (university), 大家 (everyone), and 大小 (size)",adjective,success
32,就,jiu4,352,"An adverb expressing 'then', 'right away', 'just', or 'only' to emphasize immediacy, limitation, or consequence. Also used to indicate something happening earlier than expected or as soon as a condition is met.","Common in patterns like 就是 (exactly/precisely), 我就来 (I'm coming right away), or 一...就... (as soon as...then...)",adverb,success
33,声,sheng1,338,"Sound, voice, or noise. Also used as a measure word for sounds or utterances.","Common in words like 声音 (sound), 大声 (loud voice), and phrases like 一声 (one sound/utterance)",noun/measure word,success
34,道,dao4,321,"Way, path, or road; also means to say or speak. In philosophy, refers to 'the Way' or fundamental principle (as in Daoism).","Common as a measure word for questions, orders, or dishes (一道菜 - one dish), and in words like 知道 (to know) and 道路 (road)",noun/verb/measure word,success
35,都,dou1,315,Adverb meaning 'all' or 'both' that indicates inclusiveness of everything or everyone mentioned. Also used to mean 'already' or 'even' in certain contexts.,"Placed before verbs, as in 我们都是学生 (we are all students) or 都十点了 (it's already 10 o'clock)",adverb,success
36,过,guo4,299,"Particle indicating past experience or completed action, meaning 'have ever done' or 'have been to'. Also used as a verb meaning 'to pass' or 'to cross'.",As particle: 我去过中国 (I have been to China). As verb: 过马路 (cross the street),particle/verb,success
37,会,hui4,294,Auxiliary verb meaning 'can' or 'to know how to' (indicating learned ability); also means 'will' (indicating future possibility) or 'meeting/gathering' as a noun.,Used before verbs like 我会说中文 (I can speak Chinese) or 明天会下雨 (It will rain tomorrow),auxiliary verb/noun,success
38,头,tou2,293,Head (the body part); also used as a suffix for nouns and as a measure word for certain animals,"Common in words like 石头 (stone), 木头 (wood), and counting livestock like 一头牛 (one cow)",noun/measure word,success
39,出,chu1,282,"To go out, exit, or come out from inside to outside; also means to produce or appear.","Common in words like 出去 (go out), 出来 (come out), 出门 (leave home/go out)",verb,success
40,多,duo1,280,"Many, much, or a lot; indicates a large quantity or number of something. Also used in questions to ask 'how much/many' or 'how' (as in 'how old').","Common in phrases like 很多 (very many), 多少 (how much/many), 多大 (how old)",adjective,success
41,魔,mo2,275,"Demon, devil, or magic; refers to supernatural evil forces or magical powers. Often used in compound words related to fantasy, supernatural beings, or obsessive behavior.","Common in words like 魔鬼 (devil), 魔法 (magic), 恶魔 (demon), and 着魔 (bewitched/obsessed)",noun,success
42,要,yao4,272,To want or to need; also used as an auxiliary verb to express future intention or necessity (will/going to/must).,Common in expressions like 我要水 (I want water) or 我要去 (I'm going to go),verb/auxiliary verb,success
43,去,qu4,270,To go; to leave for a place or move away from the current location.,Common in phrases like 去学校 (go to school) or 我去 (I'm going). Often paired with destination words.,verb,success
44,子,zi,269,"A noun suffix that forms nouns from other words, often indicating small objects or familiar things; also means 'child' or 'son' in classical Chinese.","Commonly attached to words like 桌子 (table), 椅子 (chair), 孩子 (child), 儿子 (son)",suffix/noun,success
45,什,shen2,268,A question word meaning 'what' that appears in the common compound 什么 (shénme). Rarely used alone in modern Mandarin.,"Almost always appears in the word 什么 (what), as in 你要什么? (What do you want?)",pronoun,success
46,想,xiang3,264,"To think, to want, or to miss someone/something. This versatile verb expresses thoughts, desires, and feelings of longing.","Common in phrases like 我想你 (I miss you), 想吃 (want to eat), 我想... (I think...)",verb,success
47,也,ye3,260,"Adverb meaning 'also', 'too', or 'as well', used to indicate that something applies in addition to what was previously mentioned.","Typically placed before the verb or adjective, as in 我也是 (I am too) or 他也去 (he's also going)",adverb,success
48,下,xia4,253,"Means 'down', 'below', or 'under' as a position word; also used as a verb meaning 'to go down', 'to get off', or 'next' (as in next time).","Common in directional phrases like 下去 (go down), 下车 (get off a vehicle), 下面 (below/underneath), and time expressions like 下次 (next time)",noun/verb,success
49,见,jian4,253,"To see, to meet, or to perceive. Also used to indicate passive voice or the result of an action being experienced.","Common in words like 看见 (to see), 见面 (to meet), and 再见 (goodbye, literally 'see you again')",verb,success
50,能,neng2,244,"Can, able to, or be capable of doing something. Expresses ability or possibility.",Used before verbs like 我能说中文 (I can speak Chinese),auxiliary verb,success
51,只,zhi3,239,"A measure word (classifier) used for counting animals, birds, and certain objects like boats or hands. Also means 'only' or 'just' (though that usage has a different pronunciation: zhi3).","Common in phrases like 一只猫 (one cat), 两只鸟 (two birds), or 只有 (only have)",measure word / adverb,success
52,小,xiao3,239,"Small, little, or young; describes size, age, or importance that is less than average or expected.","Common in words like 小孩 (child), 小狗 (puppy), and as a prefix for names to show affection",adjective,success
53,从,cong2,237,"A preposition meaning 'from' that indicates a starting point in time, place, or direction. Also means 'to follow' or 'since' depending on context.","Common in phrases like 从...到... (from...to...), 从今天开始 (starting from today), 从中国来 (come from China)",preposition,success
54,起,qi3,231,"To rise, get up, or start; indicates the beginning of an action or upward movement.",Common in phrases like 起来 (qǐlái - to get up/rise) and 起床 (qǐchuáng - to get out of bed),verb,success
55,生,sheng1,229,"To give birth, to be born, or to grow; also means raw or uncooked, and living or alive.","Common in words like 学生 (student, literally 'studying person'), 生日 (birthday), and 生病 (to get sick)",verb/adjective,success
56,可,ke3,222,"Can, may, or able to; expresses permission or possibility. Also used to mean 'but' or as an intensifier in certain contexts.","Common in phrases like 可以 (kěyǐ - can/may), 可是 (kěshì - but), and 可爱 (kě'ài - cute)",auxiliary verb/adverb,success
57,好,hao3,218,"Good, well, or fine; expresses positive quality or approval. Also used to indicate completion or readiness.","Common in greetings like 你好 (hello), responses like 好的 (okay), and descriptions like 很好 (very good)",adjective/adverb,success
58,格,ge2,218,"Pattern, standard, or style; also means grid or frame. Commonly used as a suffix in compound words to indicate format, character, or qualification.","Found in words like 性格 (personality), 风格 (style), 格子 (grid/checkered pattern), and 合格 (qualified)",noun,success
59,很,hen3,216,"An adverb meaning 'very' or 'quite' that intensifies adjectives and some verbs. In simple statements with adjectives, it's often used even when no strong emphasis is intended.",Essential in basic sentences like 我很好 (I'm fine/well) and 很大 (very big),adverb,success
60,对,dui4,208,"Correct, right; also means 'to' or 'toward' when indicating direction or target of an action or attitude","Used as an adjective (对/不对 right/wrong), preposition (对我说 say to me), or to express agreement",adjective/preposition,success
61,走,zou3,206,To walk or to go; to leave or depart from a place.,"Common in everyday expressions like 走路 (to walk), 我走了 (I'm leaving)",verb,success
62,为,wei4,205,"To do, to act, or to be; commonly used to mean 'for' or 'for the sake of' when indicating purpose or beneficiary.","Often seen in phrases like 为了 (wei4le, in order to) and 因为 (yin1wei4, because)",verb/preposition,success
63,她,ta1,205,The third-person singular feminine pronoun meaning 'she' or 'her' in English.,"Used to refer to female people, as in 她是老师 (she is a teacher)",pronoun,success
64,知,zhi1,205,"To know, to be aware of, or to understand something. This is one of the most common verbs for expressing knowledge or awareness.","Found in common words like 知道 (zhīdào - to know), 通知 (tōngzhī - to notify), and 知识 (zhīshi - knowledge)",verb,success
65,罗,luo2,204,"A common Chinese surname (romanized as Luo or Law); also means to spread out, arrange in order, or catch with a net.","Most frequently encountered as a family name, as in 罗马 (Luómǎ, Rome) or in compound words",noun/verb,success
66,眼,yan3,201,"Eye; the organ of sight. Also used as a measure word for wells, springs, or glances.","Common in words like 眼睛 (yǎnjing - eyes), 眼光 (yǎnguāng - vision/perspective)",noun,success
67,恩,en1,195,"Grace, favor, or kindness received from someone; benevolence or a good deed done for another person.",Commonly seen in words like 恩人 (benefactor) and 感恩 (to be grateful),noun,success
68,时,shi2,195,Time or a specific point in time; also used as a measure word for hours.,"Common in expressions like 小时 (hour), 时间 (time), and 当时 (at that time)",noun,success
69,又,you4,191,Means 'again' or 'also/both' to indicate repetition or addition. Often used to express that something happens once more or to connect two qualities or actions.,"Common in patterns like 又...又... (both...and...) as in 又高又帅 (both tall and handsome), or to mean 'again' as in 他又来了 (he came again)",adverb,success
70,还,hai2,189,Adverb meaning 'still' or 'yet' to indicate a continuing state or action. Also means 'in addition' or 'also' when expressing something additional.,"Common in phrases like 还有 (also have/there's more), 还是 (still/or), and 还在 (still at/doing)",adverb,success
71,开,kai1,184,"To open, turn on, or start something. Also means to drive (a vehicle) or to hold (a meeting).","Common in phrases like 开门 (open the door), 开车 (drive a car), 开会 (hold a meeting), 开灯 (turn on the light)",verb,success
72,天,tian1,178,Sky or heaven; also means 'day' as a unit of time.,"Common in words like 今天 (today), 明天 (tomorrow), and 天气 (weather)",noun,success
73,学,xue2,175,To study or learn; to imitate or follow. Also refers to a field of study or school (as in 学校).,"Common in words like 学习 (to study), 学生 (student), 大学 (university)",verb/noun,success
74,自,zi4,175,Self or oneself; also means 'from' when indicating a starting point in time or place.,"Common in words like 自己 (oneself), 自然 (nature/natural), and 来自 (to come from)",pronoun/preposition,success
75,法,fa3,174,"Law, method, or way of doing something. Also commonly used as an abbreviation for France (法国) or Buddhism (佛法).","Found in words like 方法 (method), 法律 (law), 办法 (solution/way), and 语法 (grammar)",noun,success
76,气,qi4,173,"Air, gas, or breath; also refers to anger or vital energy. Can mean weather or smell depending on context.","Common in words like 天气 (weather), 生气 (to be angry), 空气 (air)",noun,success
77,然,ran2,173,"A suffix or particle meaning 'so' or 'like that', often used to form adverbs or indicate a state of being. Commonly appears in compound words to express manner or condition.","Found in words like 当然 (of course), 自然 (natural), 突然 (suddenly), and 虽然 (although)",particle/suffix,success
78,用,yong4,171,To use or to employ something; can also mean 'with' when indicating the instrument or means of doing something.,Common in phrases like 用筷子 (use chopsticks) or 不用 (no need to),verb,success
79,后,hou4,170,"After, behind, or later in time or position; also means back or rear.","Common in words like 后面 (behind), 以后 (after/later), 然后 (then/afterwards)",noun/localizer,success
80,以,yi3,169,"A preposition meaning 'with', 'by means of', or 'in order to', used to indicate method, purpose, or reason. Also functions as a verb meaning 'to use' or 'to take' in classical Chinese.","Common in phrases like 可以 (can/may), 所以 (therefore), and 以后 (after/later)",preposition,success
81,身,shen1,169,Body or physical form; also refers to oneself or one's life/status.,"Common in words like 身体 (body/health), 自身 (oneself), and 身份 (identity/status)",noun,success
82,赫,he4,167,"Means 'illustrious', 'grand', or 'impressive'; describes something or someone famous, prominent, or awe-inspiring.","Commonly seen in names and formal expressions like 赫赫有名 (hèhè yǒumíng, very famous) or 显赫 (xiǎnhè, illustrious)",adjective,success
83,望,wang4,166,"To look into the distance, to gaze at, or to hope for something. Also means to expect or wish for a future outcome.","Common in words like 希望 (hope), 愿望 (wish), and 看望 (to visit someone)",verb,success
84,发,fa1,165,"To send, emit, or issue; to develop or happen. Also means hair when pronounced fà (4th tone).","Common in words like 发现 (discover), 发生 (happen), 发送 (send)",verb,success
85,面,mian4,164,Face or surface; also commonly means noodles in everyday usage. Can refer to the front side of something or an aspect/dimension of a situation.,"Used in words like 面条 (noodles), 表面 (surface), 见面 (meet face-to-face), and 方面 (aspect)",noun,success
86,手,shou3,163,Hand; the body part at the end of the arm used for grasping and holding things.,"Common in everyday expressions like 洗手 (wash hands), 右手 (right hand), and 手机 (mobile phone, literally 'hand machine')",noun,success
87,样,yang4,158,"Means 'kind', 'type', 'manner', or 'appearance'; used to describe how something looks or what kind of thing it is.","Common in phrases like 这样 (this way/like this), 那样 (that way/like that), 怎么样 (how is it?), and 一样 (the same)",noun/measure word,success
88,斯,si1,156,A literary particle meaning 'this' or 'thus'; primarily used in formal or classical Chinese contexts and as a phonetic component in transliterating foreign names and words.,"Commonly seen in transliterations like 斯坦福 (Stanford), 莫斯科 (Moscow), and formal expressions",particle/phonetic component,success
89,己,ji3,153,"Oneself; self. A pronoun referring to one's own person, often used in formal or literary contexts.","Common in words like 自己 (zìjǐ - oneself) and 知己 (zhījǐ - close friend, literally 'one who knows oneself')",pronoun,success
90,敏,min3,151,"Quick, agile, or sensitive in response or perception. Describes someone who is sharp, alert, or fast in thinking and reacting.","Commonly used in words like 敏感 (sensitive), 敏捷 (agile), and 灵敏 (keen/sharp)",adjective,success
91,像,xiang4,148,To resemble or be like; to look like or seem. Also used as a noun meaning 'image' or 'portrait'.,Common in comparisons like 他像他爸爸 (he looks like his father) or 看起来像 (it seems like),verb/noun,success
92,它,ta1,148,"Third-person pronoun meaning 'it', used to refer to animals, objects, and abstract concepts (not people).","Used for non-human subjects, like 它是一只猫 (it is a cat) or 它很重要 (it is important)",pronoun,success
93,最,zui4,148,"Superlative marker meaning 'most' or '-est', used before adjectives or verbs to indicate the highest degree","Used in phrases like 最好 (best), 最大 (biggest), 最喜欢 (like the most)",adverb,success
94,事,shi4,139,"Matter, affair, thing, or event; refers to situations, activities, or tasks that need attention or have occurred.","Common in phrases like 没事 (it's nothing/no problem), 有事 (have something to do), and 事情 (matter/affair)",noun,success
95,意,yi4,138,"Meaning, idea, thought, or intention; refers to what someone thinks or intends to express or do.","Commonly appears in words like 意思 (meaning), 注意 (pay attention), 同意 (agree), and 意见 (opinion)",noun,success
96,教,jiao4,138,To teach or instruct someone; to show or tell someone how to do something.,"Common in words like 教师 (teacher), 教室 (classroom), and phrases like 教我中文 (teach me Chinese)",verb,success
97,奇,qi2,136,"Strange, unusual, or odd; also means wonderful or surprising in a positive sense.","Common in words like 奇怪 (strange), 好奇 (curious), and 神奇 (magical/miraculous)",adjective,success
98,脸,lian3,133,"Face; the front part of the head from forehead to chin. Also used figuratively to refer to dignity, reputation, or self-respect.","Common in expressions like 洗脸 (wash face), 脸红 (blush/face turns red), and 丢脸 (lose face)",noun,success
99,儿,er2,132,"Child or son; also used as a diminutive suffix (儿化音) added to the end of words in northern Chinese dialects, especially in Beijing Mandarin.","As a standalone word means 'child/son' (儿子); as a suffix it softens words and is common in everyday speech (e.g., 玩儿 wánr 'to play', 花儿 huār 'flower')",noun/suffix,success
100,克,ke4,132,A unit of weight measurement equal to one gram; also means to overcome or conquer.,Common in measurements like 公克 (gram) and compound words like 克服 (to overcome),noun/verb,success
101,听,ting1,130,To listen or to hear; the primary verb for perceiving sound with your ears.,Common in phrases like 听音乐 (listen to music) and 听说 (hear that/it is said),verb,success
102,布,bu4,129,"Cloth or fabric; can also mean to announce, spread, or arrange something.","Common in words like 布料 (fabric), 发布 (to release/announce), and 分布 (to distribute)",noun/verb,success
103,前,qian2,128,"Front, forward, or before in space or time; the opposite of 后 (back/after).","Used in words like 前面 (in front), 以前 (before/previously), 前天 (day before yesterday)",noun/localizer,success
104,被,bei4,127,"Passive voice marker that indicates the subject receives an action, similar to 'by' in English passive constructions. Often implies an undesirable or negative outcome.","Used in patterns like 被...了 (was/were...), as in 我被骗了 (I was cheated)",particle,success
105,话,hua4,126,"Words, speech, or something that is said; can also mean language or dialect. Often used to refer to spoken statements, conversations, or what someone says.","Common in phrases like 说话 (to speak), 电话 (telephone), 中国话 (Chinese language)",noun,success
106,现,xian4,123,"Means 'present', 'current', or 'now'; also means 'to appear' or 'to show'. Most commonly used to indicate the present time or current state of something.","Frequently seen in words like 现在 (xiànzài - now), 现代 (xiàndài - modern), and 出现 (chūxiàn - to appear)",adjective/verb,success
107,间,jian1,123,A measure word for rooms or small buildings; also means 'between' or 'among' (when pronounced jiàn).,"Used in phrases like 房间 (room), 卫生间 (bathroom), or 时间 (time)",measure word/noun,success
108,音,yin1,123,"Sound, tone, or voice. Refers to any audible noise or musical note.","Common in words like 声音 (sound/voice), 音乐 (music), and 发音 (pronunciation)",noun,success
109,家,jia1,120,"Home, house, or family. Also used as a suffix to indicate a specialist or expert in a field.","Common in words like 家人 (family members), 回家 (go home), 作家 (writer), 科学家 (scientist)",noun/suffix,success
110,两,liang3,119,"The number two, specifically used when counting with measure words (classifiers). It means 'two of something' or 'both' when referring to a pair.","Used in phrases like 两个人 (two people), 两天 (two days). Note: 二 (èr) is used for counting or in numbers, while 两 is used before measure words.",number,success
111,几,ji3,119,"Question word meaning 'how many' or 'how much', used to ask about quantity (typically for numbers under 10). Also means 'several' or 'a few' in statements.",Common in questions like 几个 (how many) or 几点 (what time),question word/determiner,success
112,怎,zen3,119,"Question word meaning 'how' or 'why', used to ask about the manner, method, or reason for something.","Most commonly appears in 怎么 (zěnme, how/why) and 怎样 (zěnyàng, how/in what way)",adverb,success
113,边,bian1,119,"Side, edge, or border of something; also used to mean 'while' when repeated (边...边...) to indicate doing two actions simultaneously.","Common in words like 旁边 (beside), 这边 (this side), and patterns like 边吃边看 (eating while watching)",noun/adverb,success
114,给,gei3,118,To give; also used as a preposition meaning 'to' or 'for' to indicate the recipient of an action.,Common in phrases like 给你 (give you) or 我给他打电话 (I call him/make a call to him),verb/preposition,success
115,笑,xiao4,116,"To laugh or smile; to express amusement, happiness, or joy through facial expressions or sounds.",Common in everyday expressions like 笑一笑 (smile a bit) or 大笑 (laugh loudly),verb,success
116,做,zuo4,115,"To do or to make; a general action verb used for performing activities, creating things, or working as something.","Common in phrases like 做饭 (to cook), 做作业 (to do homework), 做医生 (to work as a doctor)",verb,success
117,跟,gen1,115,"A preposition meaning 'with' or 'and', used to indicate accompaniment or connection between people or things. Also means 'to follow' when used as a verb.",Common in phrases like 我跟你 (I and you / with you) or 跟着 (to follow along),preposition/verb,success
118,口,kou3,113,Mouth; also used as a measure word for people in a family or things with openings.,"Common in words like 人口 (population), 门口 (doorway), and counting family members like 三口人 (family of three)",noun/measure word,success
119,比,bi3,113,"A preposition used to make comparisons between two things, meaning 'compared to' or 'than'. It introduces the standard of comparison in comparative sentences.","Used in the pattern A + 比 + B + adjective, like 我比他高 (I am taller than him)",preposition,success
120,张,zhang1,111,"A measure word used for flat objects like paper, tables, beds, and faces; also a common Chinese surname.","Used in phrases like 一张纸 (a sheet of paper), 一张桌子 (a table), 张先生 (Mr. Zhang)",measure word / noun,success
121,长,zhang3,111,"To grow or to increase in size, age, or development; can also mean an elder or leader.","Common in words like 长大 (to grow up), 成长 (to mature), 校长 (school principal)",verb/noun,success
122,住,zhu4,110,To live or reside in a place; also used as a verb complement meaning 'firmly' or 'to a halt' to indicate stopping or holding steady.,"Common in 住在 (to live in), 站住 (stop/halt), 记住 (to remember firmly)",verb,success
123,回,hui2,109,To return or go back to a place; to reply or answer. Also used as a measure word for counting occurrences or times of actions.,"Common in phrases like 回家 (go home), 回答 (answer), and 一回 (one time)",verb/measure word,success
124,快,kuai4,109,Fast or quick; also means 'soon' or 'almost' when referring to time.,"Used as an adjective (快车 fast train) or adverb (快来 come quickly, 快要下雨了 it's about to rain)",adjective/adverb,success
125,睛,jing1,109,"Eyeball or pupil of the eye. This character is rarely used alone and almost always appears in the compound word 眼睛 (yǎnjing), meaning 'eye'.","Most commonly seen in 眼睛 (eye), as in 她的眼睛很大 (her eyes are big)",noun,success
126,门,men2,107,Door or gate; an entrance or opening that can be opened and closed. Also used to refer to a field of study or category (like 'department').,"Common in words like 开门 (open the door), 大门 (main gate), 专门 (specialized)",noun,success
127,动,dong4,106,To move or to act; indicates physical movement or taking action.,"Common in words like 运动 (yùndòng - sports/exercise), 动作 (dòngzuò - movement/action), and 感动 (gǎndòng - to move emotionally)",verb,success
128,点,dian3,105,"A point, dot, or spot; also used as a measure word for time (o'clock) and to mean 'a little bit'","Common in expressions like 三点 (3 o'clock), 一点 (a little), and 点菜 (order food)",noun/measure word,success
129,告,gao4,104,"To tell, inform, or notify someone about something; also means to accuse or report (to authorities).","Common in words like 告诉 (gàosu - to tell), 报告 (bàogào - report), and 广告 (guǎnggào - advertisement)",verb,success
130,三,san1,103,The number three. It is one of the most basic and frequently used numbers in Mandarin Chinese.,"Used in counting, dates, times, and quantities like 三个人 (three people) or 星期三 (Wednesday)",number,success
131,德,de2,103,"Virtue, morality, or moral character; also refers to kindness and good conduct. Commonly used in formal contexts and appears in many compound words related to ethics and behavior.","Found in words like 道德 (morality), 品德 (moral character), and country names like 德国 (Germany)",noun,success
132,室,shi4,101,Room or chamber; a formal term for an enclosed space within a building.,"Commonly used in compound words like 教室 (classroom), 办公室 (office), 卧室 (bedroom)",noun,success
133,莱,lai2,100,A type of wild vegetable or herb; commonly used as a phonetic component in transliterations of foreign names and places.,"Most frequently seen in words like 莱茵河 (Rhine River) and 蓬莱 (Penglai, a mythical place)",noun,success
134,西,xi1,100,West; the direction where the sun sets. Also used to refer to Western countries or things from the West.,"Common in directional words like 西边 (west side), 东西 (east-west/things), and 西方 (the West/Western countries)",noun,success
135,站,zhan4,99,"To stand (in an upright position); a station or stop (for buses, trains, etc.)","As a verb: 站起来 (stand up). As a noun: 车站 (bus/train station), 地铁站 (subway station)",verb/noun,success
136,信,xin4,98,"Letter (mail); to trust or believe. As a noun, it refers to written correspondence, and as a verb, it means to have faith or confidence in something or someone.","Common in words like 信件 (letter/mail), 相信 (to believe), and 自信 (confidence)",noun/verb,success
137,第,di4,94,"Prefix used before numbers to form ordinal numbers, similar to '-th' in English (first, second, third, etc.)","Used in phrases like 第一 (first), 第二 (second), 第三 (third)",prefix,success
138,诉,su4,94,"To tell, inform, or complain about something; to accuse or bring a lawsuit against someone.","Commonly seen in words like 告诉 (gàosu - to tell), 诉说 (sùshuō - to recount), and 起诉 (qǐsù - to sue)",verb,success
139,中,zhong1,93,"Middle or center; also means 'in' or 'among' when indicating location or state. One of the most fundamental characters in Chinese, appearing in words like China (中国, literally 'Middle Kingdom').","Used in 中国 (China), 中间 (middle), 中文 (Chinese language), 其中 (among them)",noun/preposition,success
140,些,xie1,93,"A measure word meaning 'some' or 'a few', used to indicate an indefinite small quantity of something.","Commonly appears after 这 (zhè) or 那 (nà) as in 这些 (these) and 那些 (those), or after verbs to mean 'a little bit'",measure word,success
141,太,tai4,91,"Too, excessively, or overly; used to indicate that something exceeds a normal or acceptable degree.","Commonly placed before adjectives or verbs, as in 太好了 (too good/great!) or 太贵 (too expensive)",adverb,success
142,年,nian2,91,Year; a period of 12 months or 365 days. Also refers to age or a specific year in time.,"Common in expressions like 今年 (this year), 去年 (last year), 明年 (next year), and 三年 (three years)",noun,success
143,特,te4,91,"Special, particular, or exceptional; indicates something that stands out from the ordinary or has distinctive characteristics.",Commonly used in words like 特别 (especially/special) and 特点 (characteristic/feature),adjective,success
