Order Number,Pinyin,Correct_Character,Frequency,Definition,Usage,Part_of_Speech,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Correct_Choice
16,you3,有,648,"To have, to possess, or to exist. This is one of the most fundamental verbs in Mandarin, used to indicate possession or the existence of something.",Common in phrases like 我有书 (I have a book) or 有问题 (there is a problem),verb,有,仍,比,朝,显,A
17,shang4,上,620,"Indicates upward direction, position above, or going onto/up something; also means 'previous' or 'last' when referring to time, and 'to go to' or 'to attend' as a verb.","Common in phrases like 上面 (above/on top), 上车 (get on a vehicle), 上课 (attend class), 上个月 (last month)",noun/verb/localizer,帮,公,上,门,耳,C
18,ni3,你,614,"The second-person singular pronoun meaning 'you', used when addressing one person directly.",Used in greetings like 你好 (hello) and questions like 你叫什么名字? (What's your name?),pronoun,麻,莱,使,包,你,E
19,li3,里,610,"Inside, within, or in; indicates location or position inside something. Also used as a unit of distance (Chinese mile, approximately 0.5 km).","Common in phrases like 家里 (at home), 心里 (in one's heart), 这里 (here)",noun/localizer,花,些,跑,方,里,E
20,zhe4,这,574,"Demonstrative pronoun meaning 'this' or 'these', used to indicate something close to the speaker in space, time, or context.","Used in phrases like 这个 (this one), 这里 (here), 这是 (this is)",pronoun,员,这,平,课,愿,B
21,lai2,来,525,To come or arrive; to move toward the speaker or a reference point. Also used as a verb complement indicating direction toward the speaker.,"Common in phrases like 来中国 (come to China), 过来 (come over), 起来 (get up/rise up)",verb,变,来,护,红,吃,B
22,na4,那,477,"Demonstrative pronoun meaning 'that' or 'those', used to refer to something distant from the speaker. Can also function as 'in that case' or 'then' when used as a conjunction.","Common in phrases like 那个 (that one), 那里 (there), 那么 (then/in that case)",pronoun/conjunction,项,难,尖,马,那,E
23,ren2,人,476,Person or people; human being. One of the most fundamental Chinese characters referring to individuals or humanity in general.,"Used in countless compounds like 中国人 (Chinese person), 人们 (people), 好人 (good person)",noun,关,五,人,再,吼,C
24,dao4,到,469,To arrive at or reach a destination; also used as a resultative complement meaning 'successfully completed' or 'up until (a time)'.,"Common in phrases like 到了 (arrived), 看到 (saw/catch sight of), 从...到... (from...to...)",verb,戈,带,到,何,已,C
25,me,么,454,"A suffix particle used at the end of questions and certain words to soften tone or indicate uncertainty. Most commonly seen in question words like 什么 (shénme, what) and 怎么 (zěnme, how).",Rarely used alone; typically appears as part of compound question words,particle,放,直,受,么,帽,D
26,ba3,把,433,"A grammatical particle used to move the object before the verb, emphasizing that an action is done to something specific. Also used as a measure word for objects with handles or things that can be grasped.",Common in sentences like 把门关上 (close the door) or 一把椅子 (a chair),particle/measure word,必,沉,制,把,叫,D
27,kan4,看,419,"To look at, to see, or to watch; also means to read or to visit someone.","Common in phrases like 看书 (read a book), 看电视 (watch TV), 看医生 (see a doctor)",verb,另,父,看,糕,留,C
28,de2,得,399,"To get, obtain, or acquire something; to gain or receive.",Common in phrases like 得到 (to obtain) and 获得 (to gain). Also means 'must' when followed by a verb.,verb,得,须,尔,因,照,A
29,mei2,没,371,Negation word meaning 'not have' or 'did not'; used to negate past actions or indicate absence/lack of something.,"Common in phrases like 没有 (don't have/didn't), 没关系 (it doesn't matter), and 我没去 (I didn't go)",adverb,坚,没,车,买,死,B
30,he2,和,358,"A conjunction meaning 'and' that connects nouns, pronouns, or noun phrases together.","Used in phrases like 你和我 (you and me), 苹果和橙子 (apples and oranges)",conjunction,使,躺,和,眯,息,C
31,da4,大,356,"Big, large, or great in size, scale, or importance. One of the most fundamental adjectives in Mandarin for describing physical size or significance.","Used in common words like 大学 (university), 大家 (everyone), and 大小 (size)",adjective,大,俩,嘟,吧,花,A
32,jiu4,就,352,"An adverb expressing 'then', 'right away', 'just', or 'only' to emphasize immediacy, limitation, or consequence. Also used to indicate something happening earlier than expected or as soon as a condition is met.","Common in patterns like 就是 (exactly/precisely), 我就来 (I'm coming right away), or 一...就... (as soon as...then...)",adverb,作,亮,就,项,讲,C
33,sheng1,声,338,"Sound, voice, or noise. Also used as a measure word for sounds or utterances.","Common in words like 声音 (sound), 大声 (loud voice), and phrases like 一声 (one sound/utterance)",noun/measure word,醒,声,晃,树,物,B
34,dao4,道,321,"Way, path, or road; also means to say or speak. In philosophy, refers to 'the Way' or fundamental principle (as in Daoism).","Common as a measure word for questions, orders, or dishes (一道菜 - one dish), and in words like 知道 (to know) and 道路 (road)",noun/verb/measure word,术,背,退,道,干,D
35,dou1,都,315,Adverb meaning 'all' or 'both' that indicates inclusiveness of everything or everyone mentioned. Also used to mean 'already' or 'even' in certain contexts.,"Placed before verbs, as in 我们都是学生 (we are all students) or 都十点了 (it's already 10 o'clock)",adverb,柜,呼,都,弩,全,C
36,guo4,过,299,"Particle indicating past experience or completed action, meaning 'have ever done' or 'have been to'. Also used as a verb meaning 'to pass' or 'to cross'.",As particle: 我去过中国 (I have been to China). As verb: 过马路 (cross the street),particle/verb,根,究,寻,过,塞,D
37,hui4,会,294,Auxiliary verb meaning 'can' or 'to know how to' (indicating learned ability); also means 'will' (indicating future possibility) or 'meeting/gathering' as a noun.,Used before verbs like 我会说中文 (I can speak Chinese) or 明天会下雨 (It will rain tomorrow),auxiliary verb/noun,哪,会,部,草,馆,B
38,tou2,头,293,Head (the body part); also used as a suffix for nouns and as a measure word for certain animals,"Common in words like 石头 (stone), 木头 (wood), and counting livestock like 一头牛 (one cow)",noun/measure word,扭,消,希,头,巷,D
39,chu1,出,282,"To go out, exit, or come out from inside to outside; also means to produce or appear.","Common in words like 出去 (go out), 出来 (come out), 出门 (leave home/go out)",verb,密,非,出,翻,篇,C
40,duo1,多,280,"Many, much, or a lot; indicates a large quantity or number of something. Also used in questions to ask 'how much/many' or 'how' (as in 'how old').","Common in phrases like 很多 (very many), 多少 (how much/many), 多大 (how old)",adjective,久,多,队,扶,指,B
41,mo2,魔,275,"Demon, devil, or magic; refers to supernatural evil forces or magical powers. Often used in compound words related to fantasy, supernatural beings, or obsessive behavior.","Common in words like 魔鬼 (devil), 魔法 (magic), 恶魔 (demon), and 着魔 (bewitched/obsessed)",noun,魔,龙,行,异,放,A
42,yao4,要,272,To want or to need; also used as an auxiliary verb to express future intention or necessity (will/going to/must).,Common in expressions like 我要水 (I want water) or 我要去 (I'm going to go),verb/auxiliary verb,候,户,要,毛,舒,C
43,qu4,去,270,To go; to leave for a place or move away from the current location.,Common in phrases like 去学校 (go to school) or 我去 (I'm going). Often paired with destination words.,verb,重,绿,去,剪,图,C
44,zi,子,269,"A noun suffix that forms nouns from other words, often indicating small objects or familiar things; also means 'child' or 'son' in classical Chinese.","Commonly attached to words like 桌子 (table), 椅子 (chair), 孩子 (child), 儿子 (son)",suffix/noun,双,怨,封,取,子,E
45,shen2,什,268,A question word meaning 'what' that appears in the common compound 什么 (shénme). Rarely used alone in modern Mandarin.,"Almost always appears in the word 什么 (what), as in 你要什么? (What do you want?)",pronoun,瞥,什,题,并,猜,B
46,xiang3,想,264,"To think, to want, or to miss someone/something. This versatile verb expresses thoughts, desires, and feelings of longing.","Common in phrases like 我想你 (I miss you), 想吃 (want to eat), 我想... (I think...)",verb,降,靠,神,想,水,D
47,ye3,也,260,"Adverb meaning 'also', 'too', or 'as well', used to indicate that something applies in addition to what was previously mentioned.","Typically placed before the verb or adjective, as in 我也是 (I am too) or 他也去 (he's also going)",adverb,满,梦,也,噼,城,C
48,xia4,下,253,"Means 'down', 'below', or 'under' as a position word; also used as a verb meaning 'to go down', 'to get off', or 'next' (as in next time).","Common in directional phrases like 下去 (go down), 下车 (get off a vehicle), 下面 (below/underneath), and time expressions like 下次 (next time)",noun/verb,躺,拾,下,蓝,麻,C
49,jian4,见,253,"To see, to meet, or to perceive. Also used to indicate passive voice or the result of an action being experienced.","Common in words like 看见 (to see), 见面 (to meet), and 再见 (goodbye, literally 'see you again')",verb,抬,叼,睬,见,护,D
50,neng2,能,244,"Can, able to, or be capable of doing something. Expresses ability or possibility.",Used before verbs like 我能说中文 (I can speak Chinese),auxiliary verb,蹿,能,娘,害,昏,B
51,zhi3,只,239,"A measure word (classifier) used for counting animals, birds, and certain objects like boats or hands. Also means 'only' or 'just' (though that usage has a different pronunciation: zhi3).","Common in phrases like 一只猫 (one cat), 两只鸟 (two birds), or 只有 (only have)",measure word / adverb,送,竖,只,堂,哥,C
52,xiao3,小,239,"Small, little, or young; describes size, age, or importance that is less than average or expected.","Common in words like 小孩 (child), 小狗 (puppy), and as a prefix for names to show affection",adjective,爱,小,亮,惠,速,B
53,cong2,从,237,"A preposition meaning 'from' that indicates a starting point in time, place, or direction. Also means 'to follow' or 'since' depending on context.","Common in phrases like 从...到... (from...to...), 从今天开始 (starting from today), 从中国来 (come from China)",preposition,猫,咔,傻,浅,从,E
54,qi3,起,231,"To rise, get up, or start; indicates the beginning of an action or upward movement.",Common in phrases like 起来 (qǐlái - to get up/rise) and 起床 (qǐchuáng - to get out of bed),verb,累,近,石,起,捅,D
55,sheng1,生,229,"To give birth, to be born, or to grow; also means raw or uncooked, and living or alive.","Common in words like 学生 (student, literally 'studying person'), 生日 (birthday), and 生病 (to get sick)",verb/adjective,篇,生,味,早,训,B
56,ke3,可,222,"Can, may, or able to; expresses permission or possibility. Also used to mean 'but' or as an intensifier in certain contexts.","Common in phrases like 可以 (kěyǐ - can/may), 可是 (kěshì - but), and 可爱 (kě'ài - cute)",auxiliary verb/adverb,立,可,霉,齿,二,B
57,hao3,好,218,"Good, well, or fine; expresses positive quality or approval. Also used to indicate completion or readiness.","Common in greetings like 你好 (hello), responses like 好的 (okay), and descriptions like 很好 (very good)",adjective/adverb,新,喃,好,古,勉,C
58,ge2,格,218,"Pattern, standard, or style; also means grid or frame. Commonly used as a suffix in compound words to indicate format, character, or qualification.","Found in words like 性格 (personality), 风格 (style), 格子 (grid/checkered pattern), and 合格 (qualified)",noun,农,握,数,堵,格,E
59,hen3,很,216,"An adverb meaning 'very' or 'quite' that intensifies adjectives and some verbs. In simple statements with adjectives, it's often used even when no strong emphasis is intended.",Essential in basic sentences like 我很好 (I'm fine/well) and 很大 (very big),adverb,工,脱,袍,弹,很,E
60,dui4,对,208,"Correct, right; also means 'to' or 'toward' when indicating direction or target of an action or attitude","Used as an adjective (对/不对 right/wrong), preposition (对我说 say to me), or to express agreement",adjective/preposition,捏,隐,专,对,忍,D
61,zou3,走,206,To walk or to go; to leave or depart from a place.,"Common in everyday expressions like 走路 (to walk), 我走了 (I'm leaving)",verb,埋,未,微,走,泪,D
62,wei4,为,205,"To do, to act, or to be; commonly used to mean 'for' or 'for the sake of' when indicating purpose or beneficiary.","Often seen in phrases like 为了 (wei4le, in order to) and 因为 (yin1wei4, because)",verb/preposition,拔,饭,稀,为,肩,D
63,ta1,她,205,The third-person singular feminine pronoun meaning 'she' or 'her' in English.,"Used to refer to female people, as in 她是老师 (she is a teacher)",pronoun,复,她,甚,密,蒙,B
64,zhi1,知,205,"To know, to be aware of, or to understand something. This is one of the most common verbs for expressing knowledge or awareness.","Found in common words like 知道 (zhīdào - to know), 通知 (tōngzhī - to notify), and 知识 (zhīshi - knowledge)",verb,知,英,终,辣,补,A
65,luo2,罗,204,"A common Chinese surname (romanized as Luo or Law); also means to spread out, arrange in order, or catch with a net.","Most frequently encountered as a family name, as in 罗马 (Luómǎ, Rome) or in compound words",noun/verb,储,受,龙,罗,鹿,D
66,yan3,眼,201,"Eye; the organ of sight. Also used as a measure word for wells, springs, or glances.","Common in words like 眼睛 (yǎnjing - eyes), 眼光 (yǎnguāng - vision/perspective)",noun,眼,班,坪,孪,兮,A
67,en1,恩,195,"Grace, favor, or kindness received from someone; benevolence or a good deed done for another person.",Commonly seen in words like 恩人 (benefactor) and 感恩 (to be grateful),noun,施,折,恩,厕,围,C
68,shi2,时,195,Time or a specific point in time; also used as a measure word for hours.,"Common in expressions like 小时 (hour), 时间 (time), and 当时 (at that time)",noun,箱,时,索,填,汉,B
69,you4,又,191,Means 'again' or 'also/both' to indicate repetition or addition. Often used to express that something happens once more or to connect two qualities or actions.,"Common in patterns like 又...又... (both...and...) as in 又高又帅 (both tall and handsome), or to mean 'again' as in 他又来了 (he came again)",adverb,默,美,卡,又,弧,D
70,hai2,还,189,Adverb meaning 'still' or 'yet' to indicate a continuing state or action. Also means 'in addition' or 'also' when expressing something additional.,"Common in phrases like 还有 (also have/there's more), 还是 (still/or), and 还在 (still at/doing)",adverb,软,嘶,扬,还,识,D
71,kai1,开,184,"To open, turn on, or start something. Also means to drive (a vehicle) or to hold (a meeting).","Common in phrases like 开门 (open the door), 开车 (drive a car), 开会 (hold a meeting), 开灯 (turn on the light)",verb,叛,怀,游,开,改,D
72,tian1,天,178,Sky or heaven; also means 'day' as a unit of time.,"Common in words like 今天 (today), 明天 (tomorrow), and 天气 (weather)",noun,天,姜,越,讲,毁,A
73,xue2,学,175,To study or learn; to imitate or follow. Also refers to a field of study or school (as in 学校).,"Common in words like 学习 (to study), 学生 (student), 大学 (university)",verb/noun,业,拨,准,潜,学,E
74,zi4,自,175,Self or oneself; also means 'from' when indicating a starting point in time or place.,"Common in words like 自己 (oneself), 自然 (nature/natural), and 来自 (to come from)",pronoun/preposition,自,浮,水,攥,甸,A
75,fa3,法,174,"Law, method, or way of doing something. Also commonly used as an abbreviation for France (法国) or Buddhism (佛法).","Found in words like 方法 (method), 法律 (law), 办法 (solution/way), and 语法 (grammar)",noun,碗,仔,法,独,窥,C
76,qi4,气,173,"Air, gas, or breath; also refers to anger or vital energy. Can mean weather or smell depending on context.","Common in words like 天气 (weather), 生气 (to be angry), 空气 (air)",noun,肤,尾,气,胎,躲,C
77,ran2,然,173,"A suffix or particle meaning 'so' or 'like that', often used to form adverbs or indicate a state of being. Commonly appears in compound words to express manner or condition.","Found in words like 当然 (of course), 自然 (natural), 突然 (suddenly), and 虽然 (although)",particle/suffix,路,蛙,入,躁,然,E
78,yong4,用,171,To use or to employ something; can also mean 'with' when indicating the instrument or means of doing something.,Common in phrases like 用筷子 (use chopsticks) or 不用 (no need to),verb,压,贵,齿,用,寂,D
79,hou4,后,170,"After, behind, or later in time or position; also means back or rear.","Common in words like 后面 (behind), 以后 (after/later), 然后 (then/afterwards)",noun/localizer,冥,后,邦,疤,曾,B
80,yi3,以,169,"A preposition meaning 'with', 'by means of', or 'in order to', used to indicate method, purpose, or reason. Also functions as a verb meaning 'to use' or 'to take' in classical Chinese.","Common in phrases like 可以 (can/may), 所以 (therefore), and 以后 (after/later)",preposition,骄,单,吱,以,熟,D
81,shen1,身,169,Body or physical form; also refers to oneself or one's life/status.,"Common in words like 身体 (body/health), 自身 (oneself), and 身份 (identity/status)",noun,姬,身,利,睁,脖,B
82,he4,赫,167,"Means 'illustrious', 'grand', or 'impressive'; describes something or someone famous, prominent, or awe-inspiring.","Commonly seen in names and formal expressions like 赫赫有名 (hèhè yǒumíng, very famous) or 显赫 (xiǎnhè, illustrious)",adjective,道,项,广,速,赫,E
83,wang4,望,166,"To look into the distance, to gaze at, or to hope for something. Also means to expect or wish for a future outcome.","Common in words like 希望 (hope), 愿望 (wish), and 看望 (to visit someone)",verb,望,好,朵,抵,功,A
84,fa1,发,165,"To send, emit, or issue; to develop or happen. Also means hair when pronounced fà (4th tone).","Common in words like 发现 (discover), 发生 (happen), 发送 (send)",verb,以,喷,发,昨,继,C
85,mian4,面,164,Face or surface; also commonly means noodles in everyday usage. Can refer to the front side of something or an aspect/dimension of a situation.,"Used in words like 面条 (noodles), 表面 (surface), 见面 (meet face-to-face), and 方面 (aspect)",noun,面,扎,滴,傻,前,A
86,shou3,手,163,Hand; the body part at the end of the arm used for grasping and holding things.,"Common in everyday expressions like 洗手 (wash hands), 右手 (right hand), and 手机 (mobile phone, literally 'hand machine')",noun,手,门,摆,祸,滑,A
87,yang4,样,158,"Means 'kind', 'type', 'manner', or 'appearance'; used to describe how something looks or what kind of thing it is.","Common in phrases like 这样 (this way/like this), 那样 (that way/like that), 怎么样 (how is it?), and 一样 (the same)",noun/measure word,腑,授,样,错,育,C
88,si1,斯,156,A literary particle meaning 'this' or 'thus'; primarily used in formal or classical Chinese contexts and as a phonetic component in transliterating foreign names and words.,"Commonly seen in transliterations like 斯坦福 (Stanford), 莫斯科 (Moscow), and formal expressions",particle/phonetic component,闭,斯,午,常,詹,B
89,ji3,己,153,"Oneself; self. A pronoun referring to one's own person, often used in formal or literary contexts.","Common in words like 自己 (zìjǐ - oneself) and 知己 (zhījǐ - close friend, literally 'one who knows oneself')",pronoun,凑,朝,造,己,掏,D
90,min3,敏,151,"Quick, agile, or sensitive in response or perception. Describes someone who is sharp, alert, or fast in thinking and reacting.","Commonly used in words like 敏感 (sensitive), 敏捷 (agile), and 灵敏 (keen/sharp)",adjective,敏,髅,装,套,加,A
91,xiang4,像,148,To resemble or be like; to look like or seem. Also used as a noun meaning 'image' or 'portrait'.,Common in comparisons like 他像他爸爸 (he looks like his father) or 看起来像 (it seems like),verb/noun,惊,却,承,像,依,D
92,ta1,它,148,"Third-person pronoun meaning 'it', used to refer to animals, objects, and abstract concepts (not people).","Used for non-human subjects, like 它是一只猫 (it is a cat) or 它很重要 (it is important)",pronoun,状,它,芬,刊,恼,B
93,zui4,最,148,"Superlative marker meaning 'most' or '-est', used before adjectives or verbs to indicate the highest degree","Used in phrases like 最好 (best), 最大 (biggest), 最喜欢 (like the most)",adverb,最,虑,吩,指,敲,A
94,shi4,事,139,"Matter, affair, thing, or event; refers to situations, activities, or tasks that need attention or have occurred.","Common in phrases like 没事 (it's nothing/no problem), 有事 (have something to do), and 事情 (matter/affair)",noun,膀,钥,事,福,型,C
95,yi4,意,138,"Meaning, idea, thought, or intention; refers to what someone thinks or intends to express or do.","Commonly appears in words like 意思 (meaning), 注意 (pay attention), 同意 (agree), and 意见 (opinion)",noun,喜,兹,宝,剪,意,E
96,jiao4,教,138,To teach or instruct someone; to show or tell someone how to do something.,"Common in words like 教师 (teacher), 教室 (classroom), and phrases like 教我中文 (teach me Chinese)",verb,块,忍,埚,怖,教,E
97,qi2,奇,136,"Strange, unusual, or odd; also means wonderful or surprising in a positive sense.","Common in words like 奇怪 (strange), 好奇 (curious), and 神奇 (magical/miraculous)",adjective,支,之,忆,奇,抑,D
98,lian3,脸,133,"Face; the front part of the head from forehead to chin. Also used figuratively to refer to dignity, reputation, or self-respect.","Common in expressions like 洗脸 (wash face), 脸红 (blush/face turns red), and 丢脸 (lose face)",noun,权,脸,摘,刻,答,B
99,er2,儿,132,"Child or son; also used as a diminutive suffix (儿化音) added to the end of words in northern Chinese dialects, especially in Beijing Mandarin.","As a standalone word means 'child/son' (儿子); as a suffix it softens words and is common in everyday speech (e.g., 玩儿 wánr 'to play', 花儿 huār 'flower')",noun/suffix,儿,柳,翻,甚,皮,A
100,ke4,克,132,A unit of weight measurement equal to one gram; also means to overcome or conquer.,Common in measurements like 公克 (gram) and compound words like 克服 (to overcome),noun/verb,苦,密,匆,克,汹,D
101,ting1,听,130,To listen or to hear; the primary verb for perceiving sound with your ears.,Common in phrases like 听音乐 (listen to music) and 听说 (hear that/it is said),verb,潜,寸,听,镜,选,C
102,bu4,布,129,"Cloth or fabric; can also mean to announce, spread, or arrange something.","Common in words like 布料 (fabric), 发布 (to release/announce), and 分布 (to distribute)",noun/verb,狱,波,眉,布,侧,D
103,qian2,前,128,"Front, forward, or before in space or time; the opposite of 后 (back/after).","Used in words like 前面 (in front), 以前 (before/previously), 前天 (day before yesterday)",noun/localizer,瞟,前,吹,薇,兽,B
104,bei4,被,127,"Passive voice marker that indicates the subject receives an action, similar to 'by' in English passive constructions. Often implies an undesirable or negative outcome.","Used in patterns like 被...了 (was/were...), as in 我被骗了 (I was cheated)",particle,被,审,粘,仿,挥,A
105,hua4,话,126,"Words, speech, or something that is said; can also mean language or dialect. Often used to refer to spoken statements, conversations, or what someone says.","Common in phrases like 说话 (to speak), 电话 (telephone), 中国话 (Chinese language)",noun,坚,憾,连,话,肘,D
106,xian4,现,123,"Means 'present', 'current', or 'now'; also means 'to appear' or 'to show'. Most commonly used to indicate the present time or current state of something.","Frequently seen in words like 现在 (xiànzài - now), 现代 (xiàndài - modern), and 出现 (chūxiàn - to appear)",adjective/verb,怒,茂,座,现,替,D
107,jian1,间,123,A measure word for rooms or small buildings; also means 'between' or 'among' (when pronounced jiàn).,"Used in phrases like 房间 (room), 卫生间 (bathroom), or 时间 (time)",measure word/noun,间,猸,襟,摆,施,A
108,yin1,音,123,"Sound, tone, or voice. Refers to any audible noise or musical note.","Common in words like 声音 (sound/voice), 音乐 (music), and 发音 (pronunciation)",noun,音,绪,烈,跄,柜,A
109,jia1,家,120,"Home, house, or family. Also used as a suffix to indicate a specialist or expert in a field.","Common in words like 家人 (family members), 回家 (go home), 作家 (writer), 科学家 (scientist)",noun/suffix,遥,家,蜍,舞,掉,B
110,liang3,两,119,"The number two, specifically used when counting with measure words (classifiers). It means 'two of something' or 'both' when referring to a pair.","Used in phrases like 两个人 (two people), 两天 (two days). Note: 二 (èr) is used for counting or in numbers, while 两 is used before measure words.",number,黄,两,遗,庭,雀,B
111,ji3,几,119,"Question word meaning 'how many' or 'how much', used to ask about quantity (typically for numbers under 10). Also means 'several' or 'a few' in statements.",Common in questions like 几个 (how many) or 几点 (what time),question word/determiner,鼎,划,升,肩,几,E
112,zen3,怎,119,"Question word meaning 'how' or 'why', used to ask about the manner, method, or reason for something.","Most commonly appears in 怎么 (zěnme, how/why) and 怎样 (zěnyàng, how/in what way)",adverb,怎,守,结,说,噗,A
113,bian1,边,119,"Side, edge, or border of something; also used to mean 'while' when repeated (边...边...) to indicate doing two actions simultaneously.","Common in words like 旁边 (beside), 这边 (this side), and patterns like 边吃边看 (eating while watching)",noun/adverb,毫,大,媚,边,岁,D
114,gei3,给,118,To give; also used as a preposition meaning 'to' or 'for' to indicate the recipient of an action.,Common in phrases like 给你 (give you) or 我给他打电话 (I call him/make a call to him),verb/preposition,移,舞,愚,给,下,D
115,xiao4,笑,116,"To laugh or smile; to express amusement, happiness, or joy through facial expressions or sounds.",Common in everyday expressions like 笑一笑 (smile a bit) or 大笑 (laugh loudly),verb,束,罗,证,笑,既,D
116,zuo4,做,115,"To do or to make; a general action verb used for performing activities, creating things, or working as something.","Common in phrases like 做饭 (to cook), 做作业 (to do homework), 做医生 (to work as a doctor)",verb,赫,靠,浮,做,迷,D
117,gen1,跟,115,"A preposition meaning 'with' or 'and', used to indicate accompaniment or connection between people or things. Also means 'to follow' when used as a verb.",Common in phrases like 我跟你 (I and you / with you) or 跟着 (to follow along),preposition/verb,汽,儿,番,啪,跟,E
118,kou3,口,113,Mouth; also used as a measure word for people in a family or things with openings.,"Common in words like 人口 (population), 门口 (doorway), and counting family members like 三口人 (family of three)",noun/measure word,攥,丛,口,做,累,C
119,bi3,比,113,"A preposition used to make comparisons between two things, meaning 'compared to' or 'than'. It introduces the standard of comparison in comparative sentences.","Used in the pattern A + 比 + B + adjective, like 我比他高 (I am taller than him)",preposition,收,莱,肚,灰,比,E
120,zhang1,张,111,"A measure word used for flat objects like paper, tables, beds, and faces; also a common Chinese surname.","Used in phrases like 一张纸 (a sheet of paper), 一张桌子 (a table), 张先生 (Mr. Zhang)",measure word / noun,盘,肖,张,问,规,C
121,zhang3,长,111,"To grow or to increase in size, age, or development; can also mean an elder or leader.","Common in words like 长大 (to grow up), 成长 (to mature), 校长 (school principal)",verb/noun,邪,讶,长,凤,进,C
122,zhu4,住,110,To live or reside in a place; also used as a verb complement meaning 'firmly' or 'to a halt' to indicate stopping or holding steady.,"Common in 住在 (to live in), 站住 (stop/halt), 记住 (to remember firmly)",verb,七,鲜,住,扎,东,C
123,hui2,回,109,To return or go back to a place; to reply or answer. Also used as a measure word for counting occurrences or times of actions.,"Common in phrases like 回家 (go home), 回答 (answer), and 一回 (one time)",verb/measure word,伦,件,剩,腔,回,E
124,kuai4,快,109,Fast or quick; also means 'soon' or 'almost' when referring to time.,"Used as an adjective (快车 fast train) or adverb (快来 come quickly, 快要下雨了 it's about to rain)",adjective/adverb,凭,快,匙,加,啊,B
125,jing1,睛,109,"Eyeball or pupil of the eye. This character is rarely used alone and almost always appears in the compound word 眼睛 (yǎnjing), meaning 'eye'.","Most commonly seen in 眼睛 (eye), as in 她的眼睛很大 (her eyes are big)",noun,吐,睛,握,袋,拖,B
126,men2,门,107,Door or gate; an entrance or opening that can be opened and closed. Also used to refer to a field of study or category (like 'department').,"Common in words like 开门 (open the door), 大门 (main gate), 专门 (specialized)",noun,门,读,嗦,全,朗,A
