Order Number,Item,Pinyin,Frequency,Choice_Tone1,Choice_Tone2,Choice_Tone3,Choice_Tone4,Choice_Neutral,Correct_Answer
102,布,bu4,129,bu1,bu2,bu3,bu4,bu,bu4
103,前,qian2,128,qian1,qian2,qian3,qian4,qian,qian2
104,被,bei4,127,bei1,bei2,bei3,bei4,bei,bei4
105,话,hua4,126,hua1,hua2,hua3,hua4,hua,hua4
106,现,xian4,123,xian1,xian2,xian3,xian4,xian,xian4
107,间,jian1,123,jian1,jian2,jian3,jian4,jian,jian1
108,音,yin1,123,yin1,yin2,yin3,yin4,yin,yin1
109,家,jia1,120,jia1,jia2,jia3,jia4,jia,jia1
110,两,liang3,119,liang1,liang2,liang3,liang4,liang,liang3
111,几,ji3,119,ji1,ji2,ji3,ji4,ji,ji3
112,怎,zen3,119,zen1,zen2,zen3,zen4,zen,zen3
113,边,bian1,119,bian1,bian2,bian3,bian4,bian,bian1
114,给,gei3,118,gei1,gei2,gei3,gei4,gei,gei3
115,笑,xiao4,116,xiao1,xiao2,xiao3,xiao4,xiao,xiao4
116,做,zuo4,115,zuo1,zuo2,zuo3,zuo4,zuo,zuo4
117,跟,gen1,115,gen1,gen2,gen3,gen4,gen,gen1
118,口,kou3,113,kou1,kou2,kou3,kou4,kou,kou3
119,比,bi3,113,bi1,bi2,bi3,bi4,bi,bi3
120,张,zhang1,111,zhang1,zhang2,zhang3,zhang4,zhang,zhang1
121,长,zhang3,111,zhang1,zhang2,zhang3,zhang4,zhang,zhang3
122,住,zhu4,110,zhu1,zhu2,zhu3,zhu4,zhu,zhu4
123,回,hui2,109,hui1,hui2,hui3,hui4,hui,hui2
124,快,kuai4,109,kuai1,kuai2,kuai3,kuai4,kuai,kuai4
125,睛,jing1,109,jing1,jing2,jing3,jing4,jing,jing1
126,门,men2,107,men1,men2,men3,men4,men,men2
127,动,dong4,106,dong1,dong2,dong3,dong4,dong,dong4
128,点,dian3,105,dian1,dian2,dian3,dian4,dian,dian3
129,告,gao4,104,gao1,gao2,gao3,gao4,gao,gao4
130,三,san1,103,san1,san2,san3,san4,san,san1
131,德,de2,103,de1,de2,de3,de4,de,de2
132,室,shi4,101,shi1,shi2,shi3,shi4,shi,shi4
133,莱,lai2,100,lai1,lai2,lai3,lai4,lai,lai2
134,西,xi1,100,xi1,xi2,xi3,xi4,xi,xi1
135,站,zhan4,99,zhan1,zhan2,zhan3,zhan4,zhan,zhan4
136,信,xin4,98,xin1,xin2,xin3,xin4,xin,xin4
137,第,di4,94,di1,di2,di3,di4,di,di4
138,诉,su4,94,su1,su2,su3,su4,su,su4
139,中,zhong1,93,zhong1,zhong2,zhong3,zhong4,zhong,zhong1
140,些,xie1,93,xie1,xie2,xie3,xie4,xie,xie1
141,太,tai4,91,tai1,tai2,tai3,tai4,tai,tai4
142,年,nian2,91,nian1,nian2,nian3,nian4,nian,nian2
143,特,te4,91,te1,te2,te3,te4,te,te4
144,黑,hei1,91,hei1,hei2,hei3,hei4,hei,hei1
145,真,zhen1,90,zhen1,zhen2,zhen3,zhen4,zhen,zhen1
146,邓,deng4,89,deng1,deng2,deng3,deng4,deng,deng4
147,课,ke4,88,ke1,ke2,ke3,ke4,ke,ke4
148,打,da3,87,da1,da2,da3,da4,da,da3
149,授,shou4,87,shou1,shou2,shou3,shou4,shou,shou4
150,问,wen4,87,wen1,wen2,wen3,wen4,wen,wen4
151,正,zheng4,86,zheng1,zheng2,zheng3,zheng4,zheng,zheng4
152,让,rang4,86,rang1,rang2,rang3,rang4,rang,rang4
153,海,hai3,85,hai1,hai2,hai3,hai4,hai,hai3
154,吃,chi1,84,chi1,chi2,chi3,chi4,chi,chi1
155,心,xin1,84,xin1,xin2,xin3,xin4,xin,xin1
156,杖,zhang4,84,zhang1,zhang2,zhang3,zhang4,zhang,zhang4
157,种,zhong3,84,zhong1,zhong2,zhong3,zhong4,zhong,zhong3
158,经,jing1,84,jing1,jing2,jing3,jing4,jing,jing1
159,色,se4,84,se1,se2,se3,se4,se,se4
160,星,xing1,83,xing1,xing2,xing3,xing4,xing,xing1
161,马,ma3,83,ma1,ma2,ma3,ma4,ma,ma3
162,才,cai2,81,cai1,cai2,cai3,cai4,cai,cai2
163,觉,jue2,81,jue1,jue2,jue3,jue4,jue,jue2
164,先,xian1,79,xian1,xian2,xian3,xian4,xian,xian1
165,光,guang1,79,guang1,guang2,guang3,guang4,guang,guang1
166,更,geng4,79,geng1,geng2,geng3,geng4,geng,geng4
167,进,jin4,79,jin1,jin2,jin3,jin4,jin,jin4
168,再,zai4,78,zai1,zai2,zai3,zai4,zai,zai4
169,校,xiao4,78,xiao1,xiao2,xiao3,xiao4,xiao,xiao4
170,师,shi1,77,shi1,shi2,shi3,shi4,shi,shi1
171,高,gao1,77,gao1,gao2,gao3,gao4,gao,gao1
172,常,chang2,76,chang1,chang2,chang3,chang4,chang,chang2
173,怪,guai4,76,guai1,guai2,guai3,guai4,guai,guai4
174,次,ci4,76,ci1,ci2,ci3,ci4,ci,ci4
175,已,yi3,75,yi1,yi2,yi3,yi4,yi,yi3
176,条,tiao2,75,tiao1,tiao2,tiao3,tiao4,tiao,tiao2
177,紧,jin3,75,jin1,jin2,jin3,jin4,jin,jin3
178,乎,hu1,74,hu1,hu2,hu3,hu4,hu,hu1
179,情,qing2,74,qing1,qing2,qing3,qing4,qing,qing2
180,飞,fei1,74,fei1,fei2,fei3,fei4,fei,fei1
181,感,gan3,73,gan1,gan2,gan3,gan4,gan,gan3
182,直,zhi2,73,zhi1,zhi2,zhi3,zhi4,zhi,zhi2
183,转,zhuan3,73,zhuan1,zhuan2,zhuan3,zhuan4,zhuan,zhuan3
184,东,dong1,72,dong1,dong2,dong3,dong4,dong,dong1
185,字,zi4,72,zi1,zi2,zi3,zi4,zi,zi4
186,巴,ba1,72,ba1,ba2,ba3,ba4,ba,ba1
187,别,bie2,71,bie1,bie2,bie3,bie4,bie,bie2
188,定,ding4,71,ding1,ding2,ding3,ding4,ding,ding4
189,叫,jiao4,70,jiao1,jiao2,jiao3,jiao4,jiao,jiao4
190,抓,zhua1,70,zhua1,zhua2,zhua3,zhua4,zhua,zhua1
191,每,mei3,69,mei1,mei2,mei3,mei4,mei,mei3
192,目,mu4,69,mu1,mu2,mu3,mu4,mu,mu4
193,突,tu1,69,tu1,tu2,tu3,tu4,tu,tu1
194,同,tong2,68,tong1,tong2,tong3,tong4,tong,tong2
195,朝,chao2,68,chao1,chao2,chao3,chao4,chao,chao2
196,父,fu4,68,fu1,fu2,fu3,fu4,fu,fu4
197,分,fen1,67,fen1,fen2,fen3,fen4,fen,fen1
198,脑,nao3,67,nao1,nao2,nao3,nao4,nao,nao3
199,认,ren4,67,ren1,ren2,ren3,ren4,ren,ren4
200,明,ming2,66,ming1,ming2,ming3,ming4,ming,ming2
201,件,jian4,65,jian1,jian2,jian3,jian4,jian,jian4
202,名,ming2,65,ming1,ming2,ming3,ming4,ming,ming2
203,尔,er3,65,er1,er2,er3,er4,er,er3
204,但,dan4,64,dan1,dan2,dan3,dan4,dan,dan4
205,楼,lou2,64,lou1,lou2,lou3,lou4,lou,lou2
206,公,gong1,63,gong1,gong2,gong3,gong4,gong,gong1
207,兰,lan2,63,lan1,lan2,lan3,lan4,lan,lan2
208,女,nv3,63,nv1,nv2,nv3,nv4,nv,nv3
209,所,suo3,63,suo1,suo2,suo3,suo4,suo,suo3
210,死,si3,63,si1,si2,si3,si4,si,si3
211,韦,wei2,63,wei1,wei2,wei3,wei4,wei,wei2
212,找,zhao3,62,zhao1,zhao2,zhao3,zhao4,zhao,zhao3
213,步,bu4,62,bu1,bu2,bu3,bu4,bu,bu4
214,火,huo3,62,huo1,huo2,huo3,huo4,huo,huo3
215,金,jin1,62,jin1,jin2,jin3,jin4,jin,jin1
216,低,di1,61,di1,di2,di3,di4,di,di1
217,使,shi3,61,shi1,shi2,shi3,shi4,shi,shi3
218,加,jia1,61,jia1,jia2,jia3,jia4,jia,jia1
219,坐,zuo4,61,zuo1,zuo2,zuo3,zuo4,zuo,zuo4
220,形,xing2,61,xing1,xing2,xing3,xing4,xing,xing2
221,成,cheng2,61,cheng1,cheng2,cheng3,cheng4,cheng,cheng2
222,拿,na2,61,na1,na2,na3,na4,na,na2
223,本,ben3,61,ben1,ben2,ben3,ben4,ben,ben3
224,吧,ba,60,ba1,ba2,ba3,ba4,ba,ba
225,姨,yi2,60,yi1,yi2,yi3,yi4,yi,yi2
226,巫,wu1,60,wu1,wu2,wu3,wu4,wu,wu1
227,思,si1,60,si1,si2,si3,si4,si,si1
228,方,fang1,60,fang1,fang2,fang3,fang4,fang,fang1
229,白,bai2,60,bai1,bai2,bai3,bai4,bai,bai2
230,礼,li3,60,li1,li2,li3,li4,li,li3
231,作,zuo4,59,zuo1,zuo2,zuo3,zuo4,zuo,zuo4
232,十,shi2,59,shi1,shi2,shi3,shi4,shi,shi2
233,桌,zhuo1,59,zhuo1,zhuo2,zhuo3,zhuo4,zhuo,zhuo1
234,相,xiang1,59,xiang1,xiang2,xiang3,xiang4,xiang,xiang1
235,袋,dai4,59,dai1,dai2,dai3,dai4,dai,dai4
236,向,xiang4,58,xiang1,xiang2,xiang3,xiang4,xiang,xiang4
237,响,xiang3,58,xiang1,xiang2,xiang3,xiang4,xiang,xiang3
238,物,wu4,58,wu1,wu2,wu3,wu4,wu,wu4
239,平,ping2,57,ping1,ping2,ping3,ping4,ping,ping2
240,弗,fu2,57,fu1,fu2,fu3,fu4,fu,fu2
241,惊,jing1,57,jing1,jing2,jing3,jing4,jing,jing1
242,房,fang2,57,fang1,fang2,fang3,fang4,fang,fang2
243,敢,gan3,57,gan1,gan2,gan3,gan4,gan,gan3
244,呢,ne,56,ne1,ne2,ne3,ne4,ne,ne
245,干,gan4,56,gan1,gan2,gan3,gan4,gan,gan4
246,该,gai1,56,gai1,gai2,gai3,gai4,gai,gai1
247,闪,shan3,56,shan1,shan2,shan3,shan4,shan,shan3
248,霍,huo4,56,huo1,huo2,huo3,huo4,huo,huo4
249,似,shi4,55,shi1,shi2,shi3,shi4,shi,shi4
250,变,bian4,55,bian1,bian2,bian3,bian4,bian,bian4
251,空,kong1,55,kong1,kong2,kong3,kong4,kong,kong1
252,全,quan2,54,quan1,quan2,quan3,quan4,quan,quan2
253,力,li4,54,li1,li2,li3,li4,li,li4
254,办,ban4,54,ban1,ban2,ban3,ban4,ban,ban4
255,嘴,zui3,54,zui1,zui2,zui3,zui4,zui,zui3
256,夫,fu1,54,fu1,fu2,fu3,fu4,fu,fu1
257,谁,shui2,54,shui1,shui2,shui3,shui4,shui,shui2
258,刚,gang1,53,gang1,gang2,gang3,gang4,gang,gang1
259,根,gen1,53,gen1,gen2,gen3,gen4,gen,gen1
260,场,chang3,52,chang1,chang2,chang3,chang4,chang,chang3
261,尖,jian1,52,jian1,jian2,jian3,jian4,jian,jian1
262,扫,sao3,52,sao1,sao2,sao3,sao4,sao,sao3
263,穿,chuan1,52,chuan1,chuan2,chuan3,chuan4,chuan,chuan1
264,芬,fen1,52,fen1,fen2,fen3,fen4,fen,fen1
265,赛,sai4,52,sai1,sai2,sai3,sai4,sai,sai4
266,哪,na3,51,na1,na2,na3,na4,na,na3
267,外,wai4,51,wai1,wai2,wai3,wai4,wai,wai4
268,脚,jiao3,51,jiao1,jiao2,jiao3,jiao4,jiao,jiao3
269,片,pian4,50,pian1,pian2,pian3,pian4,pian,pian4
270,盯,ding1,50,ding1,ding2,ding3,ding4,ding,ding1
271,茨,ci2,50,ci1,ci2,ci3,ci4,ci,ci2
272,关,guan1,49,guan1,guan2,guan3,guan4,guan,guan1
273,希,xi1,49,xi1,xi2,xi3,xi4,xi,xi1
274,清,qing1,49,qing1,qing2,qing3,qing4,qing,qing1
275,狼,lang2,49,lang1,lang2,lang3,lang4,lang,lang2
276,兴,xing1,48,xing1,xing2,xing3,xing4,xing,xing1
277,接,jie1,48,jie1,jie2,jie3,jie4,jie,jie1
278,沃,wo4,48,wo1,wo2,wo3,wo4,wo,wo4
279,离,li2,48,li1,li2,li3,li4,li,li2
280,非,fei1,48,fei1,fei2,fei3,fei4,fei,fei1
281,内,nei4,47,nei1,nei2,nei3,nei4,nei,nei4
282,妈,ma1,47,ma1,ma2,ma3,ma4,ma,ma1
283,带,dai4,47,dai1,dai2,dai3,dai4,dai,dai4
284,普,pu3,47,pu1,pu2,pu3,pu4,pu,pu3
285,吗,ma,46,ma1,ma2,ma3,ma4,ma,ma
286,吸,xi1,46,xi1,xi2,xi3,xi4,xi,xi1
287,指,zhi3,46,zhi1,zhi2,zhi3,zhi4,zhi,zhi3
288,精,jing1,46,jing1,jing2,jing3,jing4,jing,jing1
289,老,lao3,46,lao1,lao2,lao3,lao4,lao,lao3
290,许,xu3,46,xu1,xu2,xu3,xu4,xu,xu3
291,鹰,ying1,45,ying1,ying2,ying3,ying4,ying,ying1
292,书,shu1,44,shu1,shu2,shu3,shu4,shu,shu1
293,当,dang1,44,dang1,dang2,dang3,dang4,dang,dang1
294,放,fang4,44,fang1,fang2,fang3,fang4,fang,fang4
295,板,ban3,44,ban1,ban2,ban3,ban4,ban,ban3
296,欢,huan1,44,huan1,huan2,huan3,huan4,huan,huan1
297,理,li3,44,li1,li2,li3,li4,li,li3
298,眨,zha3,44,zha1,zha2,zha3,zha4,zha,zha3
299,肯,ken3,44,ken1,ken2,ken3,ken4,ken,ken3
300,轻,qing1,44,qing1,qing2,qing3,qing4,qing,qing1
301,候,hou4,43,hou1,hou2,hou3,hou4,hou,hou4
302,其,qi2,43,qi1,qi2,qi3,qi4,qi,qi2
303,士,shi4,43,shi1,shi2,shi3,shi4,shi,shi4
304,床,chuang2,43,chuang1,chuang2,chuang3,chuang4,chuang,chuang2
305,沉,chen2,43,chen1,chen2,chen3,chen4,chen,chen2
306,瞪,deng4,43,deng1,deng2,deng3,deng4,deng,deng4
307,记,ji4,43,ji1,ji2,ji3,ji4,ji,ji4
308,重,zhong4,43,zhong1,zhong2,zhong3,zhong4,zhong,zhong4
309,显,xian3,42,xian1,xian2,xian3,xian4,xian,xian3
310,福,fu2,42,fu1,fu2,fu3,fu4,fu,fu2
311,等,deng3,42,deng1,deng2,deng3,deng4,deng,deng3
312,迪,di2,42,di1,di2,di3,di4,di,di2
313,切,qie4,41,qie1,qie2,qie3,qie4,qie,qie4
314,厉,li4,41,li1,li2,li3,li4,li,li4
315,双,shuang1,41,shuang1,shuang2,shuang3,shuang4,shuang,shuang1
316,另,ling4,41,ling1,ling2,ling3,ling4,ling,ling4
317,如,ru2,41,ru1,ru2,ru3,ru4,ru,ru2
318,果,guo3,41,guo1,guo2,guo3,guo4,guo,guo3
319,级,ji2,41,ji1,ji2,ji3,ji4,ji,ji2
320,伤,shang1,40,shang1,shang2,shang3,shang4,shang,shang1
321,劳,lao2,40,lao1,lao2,lao3,lao4,lao,lao2
322,并,bing4,40,bing1,bing2,bing3,bing4,bing,bing4
323,往,wang3,40,wang1,wang2,wang3,wang4,wang,wang3
324,注,zhu4,40,zhu1,zhu2,zhu3,zhu4,zhu,zhu4
325,球,qiu2,40,qiu1,qiu2,qiu3,qiu4,qiu,qiu2
326,耳,er3,40,er1,er2,er3,er4,er,er3
327,因,yin1,39,yin1,yin2,yin3,yin4,yin,yin1
328,杯,bei1,39,bei1,bei2,bei3,bei4,bei,bei1
329,神,shen2,39,shen1,shen2,shen3,shen4,shen,shen2
330,院,yuan4,39,yuan1,yuan2,yuan3,yuan4,yuan,yuan4
331,举,ju3,38,ju1,ju2,ju3,ju4,ju,ju3
332,亲,qin1,38,qin1,qin2,qin3,qin4,qin,qin1
333,喜,xi3,38,xi1,xi2,xi3,xi4,xi,xi3
334,帚,zhou3,38,zhou1,zhou2,zhou3,zhou4,zhou,zhou3
335,无,wu2,38,wu1,wu2,wu3,wu4,wu,wu2
336,满,man3,38,man1,man2,man3,man4,man,man3
337,章,zhang1,38,zhang1,zhang2,zhang3,zhang4,zhang,zhang1
338,车,che1,38,che1,che2,che3,che4,che,che1
339,四,si4,37,si1,si2,si3,si4,si,si4
340,应,ying1,37,ying1,ying2,ying3,ying4,ying,ying1
341,旁,pang2,37,pang1,pang2,pang3,pang4,pang,pang2
342,林,lin2,37,lin1,lin2,lin3,lin4,lin,lin2
343,麻,ma2,37,ma1,ma2,ma3,ma4,ma,ma2
344,位,wei4,36,wei1,wei2,wei3,wei4,wei,wei4
345,台,tai2,36,tai1,tai2,tai3,tai4,tai,tai2
346,落,luo4,36,luo1,luo2,luo3,luo4,luo,luo4
347,需,xu1,36,xu1,xu2,xu3,xu4,xu,xu1
348,魁,kui2,36,kui1,kui2,kui3,kui4,kui,kui2
349,息,xi1,35,xi1,xi2,xi3,xi4,xi,xi1
350,抬,tai2,35,tai1,tai2,tai3,tai4,tai,tai2
351,拉,la1,35,la1,la2,la3,la4,la,la1
352,提,ti2,35,ti1,ti2,ti3,ti4,ti,ti2
353,钟,zhong1,35,zhong1,zhong2,zhong3,zhong4,zhong,zhong1
354,冷,leng3,34,leng1,leng2,leng3,leng4,leng,leng3
355,喘,chuan3,34,chuan1,chuan2,chuan3,chuan4,chuan,chuan3
356,块,kuai4,34,kuai1,kuai2,kuai3,kuai4,kuai,kuai4
357,害,hai4,34,hai1,hai2,hai3,hai4,hai,hai4
358,灵,ling2,34,ling1,ling2,ling3,ling4,ling,ling2
359,瓜,gua1,34,gua1,gua2,gua3,gua4,gua,gua1
360,花,hua1,34,hua1,hua2,hua3,hua4,hua,hua1
361,视,shi4,34,shi1,shi2,shi3,shi4,shi,shi4
362,伏,fu2,33,fu1,fu2,fu3,fu4,fu,fu2
363,停,ting2,33,ting1,ting2,ting3,ting4,ting,ting2
364,堂,tang2,33,tang1,tang2,tang3,tang4,tang,tang2
365,失,shi1,33,shi1,shi2,shi3,shi4,shi,shi1
366,晚,wan3,33,wan1,wan2,wan3,wan4,wan,wan3
367,期,qi1,33,qi1,qi2,qi3,qi4,qi,qi1
368,而,er2,33,er1,er2,er3,er4,er,er2
369,衣,yi1,33,yi1,yi2,yi3,yi4,yi,yi1
370,静,jing4,33,jing1,jing2,jing3,jing4,jing,jing4
371,亮,liang4,32,liang1,liang2,liang3,liang4,liang,liang4
372,传,chuan2,32,chuan1,chuan2,chuan3,chuan4,chuan,chuan2
373,保,bao3,32,bao1,bao2,bao3,bao4,bao,bao3
374,完,wan2,32,wan1,wan2,wan3,wan4,wan,wan2
375,待,dai4,32,dai1,dai2,dai3,dai4,dai,dai4
376,怕,pa4,32,pa1,pa2,pa3,pa4,pa,pa4
377,愿,yuan4,32,yuan1,yuan2,yuan3,yuan4,yuan,yuan4
378,猫,mao1,32,mao1,mao2,mao3,mao4,mao,mao1
379,之,zhi1,31,zhi1,zhi2,zhi3,zhi4,zhi,zhi1
380,句,ju4,31,ju1,ju2,ju3,ju4,ju,ju4
381,抽,chou1,31,chou1,chou2,chou3,chou4,chou,chou1
382,树,shu4,31,shu1,shu2,shu3,shu4,shu,shu4
383,深,shen1,31,shen1,shen2,shen3,shen4,shen,shen1
384,简,jian3,31,jian1,jian2,jian3,jian4,jian,jian3
385,近,jin4,31,jin1,jin2,jin3,jin4,jin,jin4
386,远,yuan3,31,yuan1,yuan2,yuan3,yuan4,yuan,yuan3
387,顶,ding3,31,ding1,ding2,ding3,ding4,ding,ding3
388,令,ling4,30,ling1,ling2,ling3,ling4,ling,ling4
389,半,ban4,30,ban1,ban2,ban3,ban4,ban,ban4
390,底,di3,30,di1,di2,di3,di4,di,di3
391,御,yu4,30,yu1,yu2,yu3,yu4,yu,yu4
392,早,zao3,30,zao1,zao2,zao3,zao4,zao,zao3
393,术,shu4,30,shu1,shu2,shu3,shu4,shu,shu4
394,红,hong2,30,hong1,hong2,hong3,hong4,hong,hong2
395,表,biao3,30,biao1,biao2,biao3,biao4,biao,biao3
396,通,tong1,30,tong1,tong2,tong3,tong4,tong,tong1
397,防,fang2,30,fang1,fang2,fang3,fang4,fang,fang2
398,鬼,gui3,30,gui1,gui2,gui3,gui4,gui,gui3
399,二,er4,29,er1,er2,er3,er4,er,er4
400,倒,dao4,29,dao1,dao2,dao3,dao4,dao,dao4
401,共,gong4,29,gong1,gong2,gong3,gong4,gong,gong4
402,刻,ke4,29,ke1,ke2,ke3,ke4,ke,ke4
403,友,you3,29,you1,you2,you3,you4,you,you3
404,呼,hu1,29,hu1,hu2,hu3,hu4,hu,hu1
405,抖,dou3,29,dou1,dou2,dou3,dou4,dou,dou3
406,新,xin1,29,xin1,xin2,xin3,xin4,xin,xin1
407,梯,ti1,29,ti1,ti2,ti3,ti4,ti,ti1
408,玩,wan2,29,wan1,wan2,wan3,wan4,wan,wan2
409,管,guan3,29,guan1,guan2,guan3,guan4,guan,guan3
410,阵,zhen4,29,zhen1,zhen2,zhen3,zhen4,zhen,zhen4
411,难,nan2,29,nan1,nan2,nan3,nan4,nan,nan2
412,世,shi4,28,shi1,shi2,shi3,shi4,shi,shi4
413,农,nong2,28,nong1,nong2,nong3,nong4,nong,nong2
414,喊,han3,28,han1,han2,han3,han4,han,han3
